roadRank,routeId,routeNm,routeNo,routeTp
107,1070000031,경충대로,,
106,1050003631,서오릉로,363,
105,1050000561,파주로,56,
105,1050000562,등원로,56,
105,1050000563,혜음로,56,
105,1050000564,술이홀로,56,
105,1050000565,화합로,56,
106,1050003711,광적로,371,
106,1050003601,부흥로,360,
105,1050000391,권율로,39,
105,1050000392,가마골로,39,
106,1050003712,일영로/감악산로,371,
107,1070000021,중앙로/수색로,,
103,1030000441,국도 44호선,44,
103,1030000481,국도 48호선,48,
102,1050003571,제2 자유로,357,
106,1050003911,북한강로,391,
105,1050000861,수레로,86,
105,1050000234,밤고개로/대왕판교로/신수로,23,
105,1050000572,서현로,57,
105,1050000571,안양판교로/관악대로,57,
105,1050000235,용구대로,23,
106,1050003251,산수로,325,
105,1050000881,천진암로,88,
105,1050000573,태재로/서현로,57,
105,1050000882,정영로,88,
105,1050000883,왕창로,88,
105,1050000981,곤지암로,98,
105,1050000982,도척로,98,
105,1050000983,한터로,98,
105,1050003381,경안천로/이배재로,338,
106,1050003561,송산로,356,
106,1050003562,덕이로,356,
105,1050000985,고양대로/서오릉로,98,
105,1050000312,보라하갈로,343,
105,1050000238,안성대로,23,
102,1020010201,덕송내각고속화도로,,
103,1030000871,국도 87호선,87,
104,1040000311,과천우면산로/반포대로,,
107,1070000011,과천대로/동작대로,,
102,1020003123,과천우면산도시고속화도로,31,
106,1050003181,지방도 318호선,318,
106,1050003371,지방도 337호선,337,
101,1010000172,수원광명고속도로,17,
105,1050000986,부흥로,98,
103,1030000393,국도 39호선(평택~안산),39,
101,1010000011,경부고속도로,1,
101,1010000351,중부고속도로,35,
101,1010000451,중부내륙고속도로,45,
101,1010001101,제2경인고속도로,110,
101,1010001711,용인서울고속도로,171,1
102,1010003301,제3경인고속화도로,330,1
102,1020000881,올림픽대로,88,1
102,1020003122,지방도 309호선(미수집),312,1
103,1030000011,국도 1호선,1,
103,1030000061,국도 6호선,6,1
103,1030000381,국도 38호선,38,1
103,1030000451,국도 45호선,45,1
107,1030000461,경춘로,,
