road_name,highway,segment_count,total_length_m,total_length_km,traffic_match,traffic_match_method,matched_route_name_norm,matched_route_no,vol_mean,vol_min,vol_max,spd_mean,trvlTime_mean,traffic_rows_used,source_road,source_traffic
봉담과천로,trunk,113,36075.86,36.076,matched,route_name_match,봉담과천로,,0.0,0.0,0.0,57.511,25.275,131,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
수도권제1순환고속도로,motorway,23,16440.44,16.44,matched,route_name_match,수도권제1순환고속도로,,15.786,0.0,95.0,64.928,44.817,542,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
안양판교로,primary,37,14086.52,14.087,matched,route_no_ref_match,,57,0.0,0.0,0.0,35.356,29.722,205,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
제2경인고속도로,motorway,26,11875.86,11.876,matched,route_name_match,제2경인고속도로,,7.236,0.0,87.0,62.317,61.545,123,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
경수대로,primary,32,10404.78,10.405,matched,route_no_ref_match,,1,3.338,0.0,107.0,40.89,32.979,1558,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
덕영대로,tertiary,13,6715.46,6.715,matched,route_name_alias_match,덕영대로/오봉로,,0.0,0.0,0.0,17.5,4.5,4,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
영동고속도로,motorway,16,5637.43,5.637,matched,route_name_match,영동고속도로,,1.658,0.0,71.0,60.946,51.225,409,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
수원문산고속도로,motorway,4,5377.03,5.377,matched,route_no_ref_match,,17,0.937,0.0,59.0,60.777,27.718,806,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
오봉로,tertiary,18,4583.34,4.583,matched,route_name_alias_match,덕영대로/오봉로,,0.0,0.0,0.0,17.5,4.5,4,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
하오개로,tertiary,5,2291.28,2.291,matched,route_no_ref_match,,57,0.0,0.0,0.0,35.356,29.722,205,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
흥안대로,primary,6,1943.7,1.944,matched,route_no_ref_match,,47,0.325,0.0,39.0,43.276,24.483,949,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
고천지하차도,primary,8,1346.52,1.347,matched,route_no_ref_match,,1,3.338,0.0,107.0,40.89,32.979,1558,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
청계졸음쉼터,rest_area,1,334.55,0.335,matched,route_no_ref_match,,100,15.786,0.0,95.0,64.928,44.817,542,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping)
