road_name,highway,segment_count,total_length_m,total_length_km
봉담과천로,trunk,113,36075.86,36.076
수도권제1순환고속도로,motorway,23,16440.44,16.44
안양판교로,primary,37,14086.52,14.087
제2경인고속도로,motorway,26,11875.86,11.876
경수대로,primary,32,10404.78,10.405
덕영대로,tertiary,13,6715.46,6.715
백운로,secondary,17,6072.17,6.072
영동고속도로,motorway,16,5637.43,5.637
수원문산고속도로,motorway,4,5377.03,5.377
오봉로,tertiary,18,4583.34,4.583
청계로,tertiary,7,3567.91,3.568
왕송못동로,tertiary,18,2990.65,2.991
학현로,tertiary,11,2944.99,2.945
철도박물관로,tertiary,16,2792.03,2.792
학의로,tertiary,4,2585.19,2.585
왕곡로,tertiary,5,2556.44,2.556
성고개로,tertiary,8,2440.76,2.441
의일로,secondary,21,2298.52,2.299
하오개로,tertiary,5,2291.28,2.291
오전로,tertiary,4,2182.36,2.182
모락로,tertiary,6,2166.39,2.166
문화예술로,tertiary,11,2114.71,2.115
왕송못서길,tertiary,1,2083.02,2.083
초평로,tertiary,6,1984.4,1.984
흥안대로,primary,6,1943.7,1.944
윗새우대길,residential,3,1940.53,1.941
징계골길,residential,4,1873.19,1.873
오매기백운산길,residential,2,1810.16,1.81
광교산로,unclassified,1,1699.01,1.699
복지로,tertiary,3,1676.33,1.676
능안길,residential,3,1669.06,1.669
내손순환로,tertiary,3,1502.32,1.502
고고리길,service,1,1486.09,1.486
맑은내길,residential,2,1393.43,1.393
고천지하차도,primary,8,1346.52,1.347
고산로,tertiary,5,1298.52,1.299
가나무로,tertiary,3,1297.39,1.297
포일세거리로,tertiary,4,1281.19,1.281
포일로,tertiary,4,1214.93,1.215
시청로,tertiary,2,1183.53,1.184
내손로,tertiary,2,1126.92,1.127
부곡복지관길,residential,7,1080.51,1.081
백운호수로,tertiary,6,1074.96,1.075
백운안길,residential,3,1067.24,1.067
뒷골길,unclassified,1,1033.82,1.034
부곡중학길,residential,8,1002.94,1.003
덕장로,tertiary,1,1000.7,1.001
광진말로,residential,3,974.96,0.975
계원대학로,tertiary,6,967.05,0.967
월암길,residential,3,965.22,0.965
벌모루길,residential,1,963.28,0.963
맑은내1길,residential,1,959.99,0.96
왕림길,residential,3,914.17,0.914
백운중앙로,tertiary,5,912.7,0.913
평의길,residential,2,894.56,0.895
솔고개길,service,2,882.07,0.882
대안사길,service,3,860.29,0.86
홍치골길,residential,4,858.02,0.858
갈미로,tertiary,2,853.45,0.853
의왕군포로,tertiary,4,850.4,0.85
부곡시장길,residential,6,828.75,0.829
고산로211번길,tertiary,1,822.03,0.822
내손중앙로,tertiary,3,804.93,0.805
갈미1로,residential,2,796.67,0.797
바라산로,tertiary,4,780.28,0.78
아랫새우대길,residential,1,774.14,0.774
새터길,residential,1,772.0,0.772
입북로77번길,unclassified,1,763.12,0.763
복합물류지하차도,tertiary,1,752.01,0.752
부곡중앙로,tertiary,15,733.66,0.734
새말길,residential,3,726.49,0.726
흥안대로456번길,tertiary,1,725.74,0.726
학의터널,secondary,2,724.88,0.725
오전천로,tertiary,2,711.44,0.711
장안로,tertiary,4,701.17,0.701
수인로598번길,residential,1,686.64,0.687
통미마을길,service,6,680.96,0.681
이당로,tertiary,1,673.22,0.673
광진말1로,residential,2,671.59,0.672
입북로59번길,unclassified,1,669.09,0.669
모란길,residential,1,668.52,0.669
위인로,residential,1,665.88,0.666
솔고개길,residential,4,665.24,0.665
가나무로,unclassified,1,663.41,0.663
옻우물길,residential,2,662.66,0.663
오봉산단3로,residential,4,658.4,0.658
학현로,residential,2,653.95,0.654
봇들로,residential,3,649.36,0.649
효행로,residential,1,643.68,0.644
고천공업로,unclassified,3,640.93,0.641
괴말길,residential,3,633.3,0.633
오봉산단1로,residential,6,629.45,0.629
백운로,tertiary,3,624.58,0.625
교동길,residential,3,620.04,0.62
양지편1로,living_street,3,615.92,0.616
