highway,segment_count,named_segment_count,total_length_m,total_length_km
path,248,14,121534.09,121.534
residential,519,363,100492.12,100.492
tertiary,285,255,77524.61,77.525
service,464,51,57913.43,57.913
motorway,70,69,39822.31,39.822
trunk,113,113,36075.86,36.076
footway,300,9,33674.54,33.675
primary,85,84,28110.2,28.11
motorway_link,71,0,23050.94,23.051
cycleway,41,19,20040.09,20.04
track,63,8,19020.06,19.02
unclassified,88,18,18784.29,18.784
trunk_link,58,0,13280.21,13.28
secondary,48,44,9306.35,9.306
living_street,77,14,9192.38,9.192
pedestrian,32,1,5303.11,5.303
construction,9,2,1771.09,1.771
tertiary_link,22,1,1688.4,1.688
steps,43,2,1341.51,1.342
services,2,2,674.61,0.675
primary_link,9,0,665.61,0.666
rest_area,1,1,334.55,0.335
secondary_link,9,0,307.31,0.307
corridor,8,0,120.41,0.12
