camera_id,sido,sigungu,road_type,road_route_no,road_route_name,install_place,enforcement_type,speed_limit,road_addr,jibun_addr,install_year,data_date,lon,lat
H8812,경기도,의왕시,지방도,57,안양판교로,청계사입구사거리(인덕원역→판교),2,60,,경기도 의왕시 청계동 806-23,2023,2025-09-08,127.0004577,37.3883567
H4499,경기도,의왕시,시도,,부곡초등길,부곡초교 앞 어린이보호구역(의왕역→철도박물관),2,30,경기도 의왕시 철도박물관로 143,경기도 의왕시 삼동 158-3,2022,2025-09-08,126.9505691,37.3163496
J0482,경기도,의왕시,시도,,포도원로,해모로아파트 107동 앞 어린이보호구역(의왕초교)(의왕초교→포도원사거리),1,30,경기도 의왕시 포도원로 40,경기도 의왕시 오전동 28,2024,2025-09-08,126.9664374,37.36226181
J0483,경기도,의왕시,시도,,보식골로,대명솔채아파트 앞 어린이보호구역(모락초교)(모락초교→보석골로어린이공원),1,30,,경기도 의왕시 오전동 889,2024,2025-09-08,126.9708793,37.3589872
J2704,경기도,의왕시,기타,,과천봉담도시고속화대로,"과천의왕간고속화도로 학의분기점 전 1,2차로(의왕→과천)",1,90,,경기도 의왕시 내손동 40,2024,2025-09-08,126.9977443,37.37570439
J2705,경기도,의왕시,기타,,과천봉담도시고속화대로,"과천의왕간고속화도로 학의분기점 전 3,4차로(의왕→과천)",1,90,,경기도 의왕시 내손동 40,2024,2025-09-08,126.9977443,37.37570439
J2706,경기도,의왕시,시도,,덕영대로,부곡체육공원 앞(수원→부곡IC),2,50,경기도 의왕시 부곡공원길 3,경기도 의왕시 월암동 424-3,2024,2025-09-08,126.9579144,37.3150375
J2708,경기도,의왕시,지방도,57,안양판교로,하오고개 내리막길(판교→안양),1,60,경기도 의왕시 하오개로 60,경기도 의왕시 청계동 134-4,2024,2025-09-08,127.0314183,37.39305598
J2709,경기도,의왕시,지방도,57,안양판교로,양지편로삼거리(안양→판교),2,60,경기도 의왕시 덕장로 22,경기도 의왕시 청계동 982,2024,2025-09-08,126.9971021,37.39032085
J1744,경기도,의왕시,시도,,오전로,목련아파트 앞 삼거리 어린이보호구역(오전초교)(경기중앙교회→오전초교),2,30,경기도 의왕시 오전로 159,경기도 의왕시 오전동 842번지,2024,2025-09-08,126.9707201,37.3558344
J1745,경기도,의왕시,시도,,포일세거리로,포일초교 앞 삼거리 어린이보호구역(숲속마을3단지→안양판교로),2,30,경기도 의왕시 포일세거리로 51,경기도 의왕시 포일동 647번지,2024,2025-09-08,126.9861298,37.39994801
J1452,경기도,의왕시,시도,,오봉로,부곡IC입구교차로(의왕경찰서→의왕역),2,50,,경기도 의왕시 이동 293,2024,2025-09-08,126.9563745,37.33271301
H3460,경기도,의왕시,일반국도,1,경수대로,골사그내 교차로(안양→수원),2,60,경기도 의왕시 경수대로 81,경기도 의왕시 왕곡동 485-5,2022,2025-09-08,126.9803474,37.3351827
H6709,경기도,의왕시,지방도,57,안양판교로,포일로사거리(백운중→인덕원역),2,60,경기도 의왕시 안양판교로 127,경기도 의왕시 포일동 485-5,2022,2025-09-08,126.9868831,37.39310201
H6710,경기도,의왕시,시도,,모락로,의왕초교 앞 사거리 어린이보호구역(모락중학교→모락로사거리),2,30,,경기도 의왕시 오전동 28-15,2022,2025-09-08,126.9674448,37.3626633
H8122,경기도,의왕시,시도,,내손순환로,백운초교 앞 (농협삼거리 → 백운초교)어린이보호구역,2,30,경기도 의왕시 백운초등길 11,경기도 의왕시 내손동 713-5,2023,2025-09-08,126.9754591,37.38680301
H8123,경기도,의왕시,시도,,덕영대로,부곡주민센터사거리 (철도기술연구원삼거리 → 부곡IC),2,50,경기도 의왕시 장안중앙로 3,경기도 의왕시 삼동 587,2023,2025-09-08,126.9577706,37.3184605
H8124,경기도,의왕시,시도,,덕장로,덕장초교사거리 (덕장중학교 → 덕장초교)어린이보호구역,2,30,,경기도 의왕시 청계동 999,2023,2025-09-08,126.9982441,37.39197401
H7645,경기도,의왕시,일반국도,1,경수대로,원골로삼거리(수원→안양),2,60,경기도 의왕시 원골로 3,경기도 의왕시 오전동 112-4,2023,2025-09-08,126.9665523,37.3579067
H7646,경기도,의왕시,일반국도,1,경수대로,기업은행사거리(수원→안양),2,60,경기도 의왕시 경수대로 262,경기도 의왕시 오전동 875-4,2023,2025-09-08,126.9733081,37.3497305
H6654,경기도,의왕시,시도,,왕곡로,왕곡초교 사거리 어린이보호구역(경수대로→체육공원사거리),2,30,경기도 의왕시 왕곡로 58,경기도 의왕시 왕곡동 604번지,2022,2025-09-08,126.9802225,37.3460307
H6656,경기도,의왕시,시도,,백운로,지구촌어린이집 앞 어린이보호구역(백운호수→의왕시청),1,30,경기도 의왕시 묵배미길 3,경기도 의왕시 오전동 468-8,2022,2025-09-08,126.9861599,37.3540544
J6928,경기도,의왕시,일반국도,1,국도1,오전동사거리(수원→안양),2,60,경기도 의왕시 고산로 1,경기도 의왕시 고천동 317,2024,2025-09-08,126.9711961,37.35199901
J6929,경기도,의왕시,일반국도,1,국도1,오전동사거리(안양→수원),2,60,경기도 의왕시 경수대로 297,경기도 의왕시 고천동 480-2,2024,2025-09-08,126.9709787,37.3527115
H8125,경기도,의왕시,시도,,포일세거리로,포일프라자앞 (포일초교) (포일초교 → 안양판교로)어린이보호구역,2,30,경기도 의왕시 봇들로 40,경기도 의왕시 포일동 680,2023,2025-09-08,126.9854631,37.39624301
H8100,경기도,의왕시,시도,,안양판교로,(북의왕IC → 포일교사거리),2,50,,경기도 의왕시 포일동 505-98,2023,2025-09-08,126.9866041,37.3927401
G1376,경기도,의왕시,시도,,오전로,오전초교삼거리 어린이보호구역(여성회관-&amp;gt;의왕가구단지),2,30,경기도 의왕시 오전동길 61,경기도 의왕시 오전동 868,2018,2025-09-08,126.9716881,37.35517201
