way_id,highway,road_name,length_m,boundary_validation_status,traffic_match,traffic_source_type,traffic_match_method,traffic_available,vol_mean,vol_mean_display,spd_mean,trvlTime_mean,traffic_rows_used,centroid_lon,centroid_lat
37971056,unclassified,광교산로,1699.01,crossing_boundary,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,127.01517124,37.34266564
37971212,tertiary,바라산로,300.43,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,127.01267507,37.37343498
37971222,secondary,의일로,552.56,inside,inferred,inferred,inferred_highway_median,yes,0,0,17.5,4.5,4,127.00845925,37.38011886
40790862,residential,수인로598번길,686.64,crossing_boundary,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.94272236,37.29765171
40839116,residential,부곡시장길,105.38,inside,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.94959494,37.32012185
41888498,tertiary,청계로,518.32,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,127.00113044,37.39051146
42120511,residential,,296.89,crossing_boundary,inferred,inferred,inferred_global_median,yes,0,0,57.511,25.275,305,126.96305744,37.35907692
42120523,tertiary,모락로,83.07,inside,inferred,inferred,inferred_nearest_family,yes,0,0,17.5,4.5,4,126.96746683,37.36020487
48391383,motorway,수도권제1순환고속도로,115.83,inside,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,127.0037178,37.38789565
51066011,motorway,영동고속도로,98.18,inside,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.95800885,37.32517935
51066012,motorway,영동고속도로,99.06,inside,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.95795575,37.3250669
51066039,motorway,영동고속도로,425.82,crossing_boundary,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.94929761,37.32785385
51066040,motorway,영동고속도로,435.15,crossing_boundary,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.94935656,37.32796172
51066041,motorway,영동고속도로,455.36,inside,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.9551722,37.32621064
51066042,motorway,영동고속도로,459.36,inside,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.95521223,37.32633332
51066043,motorway,영동고속도로,50.79,inside,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.9519017,37.32731825
51066044,motorway,영동고속도로,61.62,inside,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.9525018,37.3271516
51066045,motorway,영동고속도로,46.0,inside,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.95198675,37.3274252
51066046,motorway,영동고속도로,57.67,inside,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.9525385,37.32726785
51066054,motorway,영동고속도로,87.0,inside,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.9606095,37.32390615
51066055,motorway,영동고속도로,89.38,inside,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.96057045,37.3237794
51066056,motorway,영동고속도로,177.5,inside,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.95934619,37.32454248
51066057,motorway,영동고속도로,177.76,inside,matched,observed,route_name_match,yes,1.658,1.658,60.946,51.225,409,126.95929608,37.32442419
51066581,tertiary,덕영대로,707.42,inside,matched,observed,route_name_alias_match,yes,0,0,17.5,4.5,4,126.95743728,37.32447863
51066582,motorway_link,,620.24,inside,inferred,inferred,inferred_nearest_family,yes,1.658,1.658,60.946,51.225,409,126.95685874,37.32798369
51066586,motorway_link,,321.91,inside,inferred,inferred,inferred_nearest_family,yes,1.658,1.658,60.946,51.225,409,126.95706655,37.32838915
51066587,secondary,덕영대로,29.41,inside,matched,observed,route_name_alias_match,yes,0,0,17.5,4.5,4,126.95671455,37.32762785
51066588,motorway_link,,430.99,inside,inferred,inferred,inferred_nearest_family,yes,1.658,1.658,60.946,51.225,409,126.9613952,37.32438109
51066589,motorway_link,,280.7,inside,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,126.95973937,37.32511368
51066820,motorway_link,,374.66,inside,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,126.98251175,37.33029166
51066895,motorway_link,,485.88,inside,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,126.98422544,37.33083157
51066898,motorway_link,,1007.35,crossing_boundary,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,126.98769429,37.32638309
51066899,motorway_link,,158.27,crossing_boundary,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,126.98544509,37.32917046
51066900,motorway_link,,74.52,inside,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,126.9840239,37.3296165
51066901,motorway_link,,441.14,inside,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,126.98305056,37.32988142
51066902,motorway_link,,73.56,inside,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,126.9840316,37.32954435
51067523,trunk,봉담과천로,641.83,crossing_boundary,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.99893109,37.40438369
51068017,trunk,봉담과천로,394.78,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.99921619,37.36269106
51068018,trunk,봉담과천로,345.35,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.99973488,37.36295359
58778377,trunk,봉담과천로,373.78,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.99786071,37.35944244
58794095,motorway,수도권제1순환고속도로,2312.65,crossing_boundary,matched,observed,route_name_match,yes,15.786,15.786,64.928,44.817,542,126.96514389,37.38010679
58800548,trunk,봉담과천로,1242.88,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.9661279,37.32710085
58800549,trunk,봉담과천로,243.18,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.96598919,37.32050689
58800551,trunk,봉담과천로,242.24,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.96585099,37.32057195
58800563,trunk,봉담과천로,228.14,crossing_boundary,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.96119254,37.30216015
58800581,trunk,봉담과천로,229.61,crossing_boundary,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.96129944,37.3020786
58800586,trunk,봉담과천로,1705.63,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,126.96577949,37.30962299
58800589,trunk_link,,404.8,crossing_boundary,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96377875,37.30297928
58800590,trunk_link,,331.93,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96200926,37.30381583
58800591,trunk_link,,571.59,inside,inferred,inferred,inferred_nearest_family,yes,0,0,57.511,25.275,131,126.96313206,37.30486424
58858217,motorway_link,,281.21,inside,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,126.99968209,37.38624959
58858218,motorway_link,,126.46,inside,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,127.00018575,37.3842896
58858220,trunk,봉담과천로,328.06,inside,matched,observed,route_name_match,yes,0,0,57.511,25.275,131,127.00044969,37.38335545
58858221,motorway_link,,262.1,inside,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,126.99910479,37.38111737
58858222,motorway_link,,571.18,inside,inferred,inferred,inferred_nearest_family,yes,15.786,15.786,64.928,44.817,542,127.00276097,37.38798737
58858223,motorway_link,,172.42,inside,inferred,inferred,inferred_nearest_family,yes,7.236,7.236,62.317,61.545,123,127.0006262,37.3855866
58858224,motorway_link,,97.35,inside,inferred,inferred,inferred_nearest_family,yes,7.236,7.236,62.317,61.545,123,127.00045769,37.38583639
58858225,motorway_link,,309.3,inside,inferred,inferred,inferred_nearest_family,yes,7.236,7.236,62.317,61.545,123,127.00117739,37.3875567
58858226,motorway_link,,347.12,inside,inferred,inferred,inferred_nearest_family,yes,7.236,7.236,62.317,61.545,123,127.00024454,37.38777024
58858227,motorway_link,,78.85,inside,inferred,inferred,inferred_nearest_family,yes,7.236,7.236,62.317,61.545,123,127.0017968,37.389231
58858228,motorway_link,,111.78,inside,inferred,inferred,inferred_nearest_family,yes,1.658,1.658,60.946,51.225,409,127.00419448,37.38949974
58858229,motorway_link,,135.26,inside,inferred,inferred,inferred_nearest_family,yes,1.658,1.658,60.946,51.225,409,127.00336478,37.39035151
58858230,motorway_link,,194.86,inside,inferred,inferred,inferred_nearest_family,yes,1.658,1.658,60.946,51.225,409,127.00248442,37.38937471
58858231,motorway_link,,594.8,inside,inferred,inferred,inferred_nearest_family,yes,1.658,1.658,60.946,51.225,409,127.00084542,37.38635252
