grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_school_m,score_gap_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_school_0_1,vulnerability_0_1,total_score_0_100,priority_rank,candidate_flag,score_class
157,126.95952269,37.34639178,1099.78,115.35,1280.09,954.46,62.7,0.696445,0.973455,0.823622,0.506633,1.0,0.793768,74.024,11,True,Very High
27,126.93709609,37.3192745,1237.12,188.32,1387.51,1177.99,1206.77,0.800343,0.891432,0.792322,0.362036,0.584538,0.641501,72.886,17,True,Very High
158,126.96015646,37.3480816,1070.01,229.47,1089.3,928.4,133.26,0.673926,0.845169,0.879208,0.523489,1.0,0.789843,72.609,18,True,Very High
71,126.94834896,37.32383441,852.31,104.31,785.43,358.69,884.48,0.50924,0.985868,0.967744,0.892022,0.729919,0.901087,68.557,41,True,Very High
39,126.93975023,37.32125088,1102.1,452.68,1208.96,928.27,1085.74,0.698201,0.594249,0.844346,0.523575,0.63913,0.657052,67.968,44,True,Very High
136,126.95719722,37.34369735,1049.46,325.55,1641.53,1051.44,421.72,0.658384,0.737162,0.71831,0.443898,0.938659,0.683826,66.983,55,True,Very High
60,126.94665539,37.32325342,840.77,240.34,817.56,405.1,861.75,0.500511,0.832948,0.958383,0.862001,0.74017,0.860739,66.261,60,True,Very High
156,126.95949019,37.34416691,983.1,297.75,1502.77,975.48,308.52,0.608183,0.768407,0.758742,0.493033,0.989718,0.727158,66.172,61,True,Very High
35,126.9399677,37.31252775,1030.66,123.72,1255.9,1277.93,974.31,0.644157,0.964049,0.830667,0.297384,0.689394,0.669104,65.538,66,True,Very High
241,126.96788824,37.37341419,849.59,133.48,1377.54,634.28,391.02,0.507181,0.953077,0.795226,0.713747,0.952504,0.833808,65.416,68,True,Very High
72,126.94847465,37.32601229,847.21,123.51,999.79,580.65,963.82,0.505382,0.964285,0.905289,0.74844,0.69413,0.827801,65.047,69,True,Very High
179,126.96232879,37.34864949,868.84,346.4,946.49,766.82,301.85,0.521749,0.71372,0.920818,0.628014,0.992728,0.805939,64.963,71,True,Very High
38,126.93991754,37.31928789,998.51,400.5,1140.39,931.75,972.01,0.619841,0.652903,0.864322,0.521322,0.690435,0.684361,64.887,72,True,Very High
178,126.96229651,37.34643315,874.76,357.87,1178.26,709.62,239.14,0.526224,0.700825,0.853289,0.665011,1.0,0.795655,64.747,73,True,Very High
37,126.93993426,37.31703451,945.39,169.66,1125.95,1010.52,906.25,0.579657,0.9124,0.868531,0.470365,0.720095,0.728168,64.649,74,True,Very High
36,126.93995098,37.31478113,956.82,119.95,1166.2,1139.81,907.08,0.588304,0.968282,0.856803,0.386735,0.719723,0.710662,64.337,76,True,Very High
49,126.94234914,37.32084062,882.45,322.32,977.22,697.61,871.4,0.532044,0.740794,0.911866,0.672783,0.735818,0.770717,63.945,78,True,Very High
180,126.96249541,37.3509515,776.3,146.85,709.96,760.66,510.04,0.451737,0.938052,0.989733,0.631995,0.898817,0.853892,63.271,83,True,Very High
59,126.94620521,37.32151617,691.42,159.95,713.33,360.97,703.27,0.387529,0.923319,0.988751,0.890547,0.811656,0.910785,62.299,88,True,Very High
446,126.98743836,37.3848533,701.24,313.43,545.55,484.07,315.31,0.394955,0.750789,1.0,0.810917,0.986655,0.890764,61.807,93,True,Very High
44,126.94280553,37.31028769,962.06,340.51,1191.58,1208.72,902.38,0.592265,0.720344,0.849407,0.342158,0.721843,0.645907,61.64,97,True,Very High
70,126.94836544,37.32158103,612.35,39.96,578.07,177.92,639.37,0.327716,1.0,1.0,1.0,0.84048,0.968096,61.589,98,True,Very High
285,126.97341328,37.37127105,867.99,532.49,1368.82,707.02,586.45,0.521104,0.504525,0.797768,0.666695,0.864351,0.713114,60.751,106,True,Very High
48,126.942739,37.31930121,767.2,254.13,894.88,688.23,747.19,0.444854,0.817452,0.935855,0.67885,0.791844,0.806271,60.749,107,True,Very High
73,126.94872534,37.32832515,834.38,367.3,1235.64,597.12,1075.65,0.495677,0.690229,0.836571,0.737787,0.643683,0.73909,60.521,110,True,Very High
