grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_school_m,score_gap_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_school_0_1,vulnerability_0_1,total_score_0_100,priority_rank,candidate_flag,score_class
18,126.93437895,37.31919152,1468.8,79.61,1625.48,1417.43,1435.78,0.975607,1.0,0.722987,0.207147,0.481239,0.575288,79.546,1,False,Very High
19,126.935239,37.32074551,1443.24,119.25,1578.31,1327.68,1416.94,0.956269,0.969079,0.736732,0.265206,0.489737,0.592345,79.25,2,False,Very High
22,126.9371801,37.30800761,1504.72,186.66,1735.37,1765.08,1445.26,1.0,0.893298,0.690969,0.0,0.47696,0.481342,76.66,3,False,Very High
29,126.93703343,37.32278356,1395.67,386.92,1494.65,1185.68,1380.21,0.920285,0.668168,0.761107,0.357061,0.506305,0.570345,76.281,4,False,Very High
10,126.93242831,37.31831053,1622.07,276.53,1790.67,1603.84,1584.97,1.0,0.792262,0.674858,0.086566,0.413941,0.469668,76.135,5,False,Very High
17,126.93429153,37.31700767,1444.18,304.03,1625.47,1478.23,1403.32,0.956978,0.761352,0.722991,0.167819,0.495881,0.51869,75.975,6,False,Very High
32,126.94001784,37.30576761,1500.83,319.57,1726.01,1715.37,1441.8,0.999834,0.743886,0.693698,0.014416,0.478523,0.456916,75.552,7,False,Very High
28,126.93708674,37.32152378,1325.38,273.49,1442.47,1165.36,1304.88,0.867108,0.795687,0.77631,0.370205,0.540282,0.611148,75.193,8,False,Very High
15,126.93432531,37.31250092,1501.37,449.78,1718.04,1692.97,1448.2,1.0,0.597506,0.696018,0.028905,0.475634,0.432105,74.445,9,False,Very High
16,126.93430842,37.3147543,1451.68,416.89,1653.6,1569.45,1403.85,0.962658,0.634485,0.714793,0.108812,0.49564,0.473107,74.236,10,False,Very High
157,126.95952269,37.34639178,1099.78,115.35,1280.09,954.46,62.7,0.696445,0.973455,0.823622,0.506633,1.0,0.793768,74.024,11,True,Very High
21,126.93719689,37.30575423,1669.11,357.53,1898.36,1906.57,1609.44,1.0,0.701206,0.64348,0.0,0.402905,0.413866,73.624,12,False,Very High
14,126.93434219,37.31024754,1589.3,432.09,1814.92,1834.7,1532.58,1.0,0.61739,0.667792,0.0,0.437575,0.411331,73.51,13,False,Very High
23,126.9371633,37.31026099,1366.54,195.24,1595.07,1625.15,1308.54,0.898248,0.883651,0.731848,0.072778,0.538631,0.525844,73.067,14,False,Very High
9,126.93158079,37.31689386,1683.61,435.15,1865.98,1712.34,1642.01,1.0,0.613955,0.652915,0.016374,0.388211,0.40122,73.055,15,False,Very High
33,126.94000113,37.30802099,1315.57,95.57,1544.94,1556.6,1255.9,0.859694,0.995696,0.746455,0.117122,0.562377,0.570688,72.964,16,False,Very High
27,126.93709609,37.3192745,1237.12,188.32,1387.51,1177.99,1206.77,0.800343,0.891432,0.792322,0.362036,0.584538,0.641501,72.886,17,True,Very High
158,126.96015646,37.3480816,1070.01,229.47,1089.3,928.4,133.26,0.673926,0.845169,0.879208,0.523489,1.0,0.789843,72.609,18,True,Very High
13,126.93435911,37.30799415,1709.56,430.75,1939.38,1974.62,1650.84,1.0,0.6189,0.631529,0.0,0.384228,0.390084,72.554,19,False,Very High
681,127.0070731,37.40521769,1478.8,269.6,2870.9,1482.73,1517.54,0.983168,0.800053,0.360122,0.164906,0.444357,0.406391,72.362,20,False,Very High
618,127.00159327,37.40507475,1463.89,358.03,2516.2,1585.11,1336.84,0.971895,0.700643,0.463466,0.098681,0.525866,0.413946,72.082,21,False,Very High
650,127.0042484,37.40520588,1561.23,433.03,2687.81,1565.08,1412.95,1.0,0.61634,0.413467,0.111633,0.491535,0.379105,72.06,22,False,Very High
41,126.94285541,37.30352754,1555.29,647.62,1787.92,1737.67,1522.75,1.0,0.375109,0.675658,0.0,0.442006,0.36612,71.475,23,False,Very High
31,126.94003455,37.30351423,1702.71,565.79,1922.59,1893.94,1644.77,1.0,0.467099,0.636421,0.0,0.386965,0.361739,71.278,24,False,Very High
42,126.94283879,37.30578092,1357.96,448.79,1574.61,1541.1,1300.88,0.891754,0.598616,0.737808,0.127146,0.542089,0.487627,70.99,25,False,Very High
8,126.93150913,37.31475369,1698.15,629.77,1897.6,1795.61,1650.91,1.0,0.395165,0.643702,0.0,0.384199,0.348984,70.704,26,False,Very High
26,126.9371129,37.31702113,1194.66,205.18,1375.66,1241.23,1154.47,0.768221,0.872478,0.795774,0.321125,0.608131,0.631192,70.656,27,False,Very High
6,126.9323845,37.31044739,1739.34,599.48,1962.17,1964.72,1683.72,1.0,0.429215,0.62489,0.0,0.369399,0.34719,70.624,28,False,Very High
24,126.9371465,37.31251437,1263.21,225.17,1483.91,1490.52,1208.63,0.820078,0.850005,0.764236,0.159865,0.583699,0.563971,70.483,29,False,Very High
12,126.93437595,37.30574078,1855.9,527.77,2086.5,2110.1,1796.33,1.0,0.509838,0.588665,0.0,0.318604,0.342288,70.403,30,False,Very High
649,127.00426325,37.40295251,1329.42,253.85,2518.23,1339.77,1181.49,0.870166,0.81776,0.462874,0.257382,0.59594,0.498817,70.306,31,False,Very High
25,126.9371297,37.31476775,1203.72,188.37,1408.8,1348.58,1155.12,0.775079,0.891377,0.786119,0.251687,0.607839,0.611185,70.133,32,False,Very High
20,126.93729322,37.30359296,1840.38,576.24,2066.38,2056.55,1781.17,1.0,0.455351,0.594527,0.0,0.32544,0.334516,70.053,33,False,Very High
2,126.92972039,37.31645058,1847.41,591.81,2033.26,1884.33,1804.5,1.0,0.43784,0.604176,0.0,0.314918,0.331804,69.931,34,False,Very High
7,126.93165453,37.31258944,1727.17,680.15,1940.07,1889.56,1675.25,1.0,0.338533,0.631329,0.0,0.37322,0.331749,69.929,35,False,Very High
617,127.00143863,37.40294063,1249.1,124.1,2334.26,1348.0,1102.01,0.809406,0.963625,0.516477,0.25206,0.631793,0.549645,69.251,36,False,Very High
1,126.92984339,37.31536224,1839.76,664.3,2033.79,1909.68,1794.18,1.0,0.356357,0.604023,0.0,0.319571,0.316392,69.238,37,False,Very High
619,127.00228614,37.40662125,1589.24,531.46,2686.25,1761.56,1517.04,1.0,0.505684,0.413921,0.0,0.444583,0.31423,69.14,38,False,Very High
5,126.93203167,37.30737593,1920.81,645.95,2150.01,2181.23,1862.42,1.0,0.376981,0.570159,0.0,0.288788,0.304202,68.689,39,False,Very High
