grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_school_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_road_m,nearest_road_way_id,nearest_road_name,nearest_road_highway,nearest_road_vol_mean,score_cctv_gap_0_1,score_school_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_road_proximity_0_1,score_traffic_0_1,total_score_equal_0_100,total_score_weighted_0_100,min_cctv_gap_m,max_road_dist_m
347,126.97898217,37.38256291,470.96,251.23,124.74,145.74,174.26,140.85,379044918,복지로,tertiary,0.0,0.220756,1.0,0.962899,1.0,1.0,0.180343,0.5,69.486,81.87,200.0,150.0
483,126.99023177,37.38937225,492.67,133.7,155.36,675.26,192.51,98.72,815177632,학의천자전거길,cycleway,0.0,0.237181,1.0,0.928484,0.999844,0.999516,0.435798,0.5,72.869,81.55,200.0,150.0
348,126.97896658,37.38481628,346.77,51.15,28.04,223.45,82.87,23.1,379044918,복지로,tertiary,0.0,0.126807,1.0,1.0,1.0,1.0,0.8944,0.5,78.874,81.537,200.0,150.0
70,126.94836544,37.32158103,612.35,639.37,39.96,578.07,177.92,16.29,471692508,,footway,0.0,0.327716,0.84048,1.0,1.0,1.0,0.935726,0.5,80.056,81.204,200.0,150.0
88,126.95118698,37.32159415,576.02,622.0,76.77,457.69,110.26,20.94,155788510,부곡중앙북3길,residential,0.0,0.300233,0.848314,1.0,1.0,1.0,0.907523,0.5,79.372,81.067,200.0,150.0
105,126.95404112,37.31710044,318.73,368.56,17.57,139.02,86.58,7.65,568664981,부곡중앙남6길,residential,0.0,0.105593,0.962636,1.0,1.0,1.0,0.988063,0.5,79.376,80.866,200.0,150.0
87,126.95120336,37.31934077,336.57,385.73,96.03,227.48,95.43,3.33,461776049,부곡시장길,residential,0.0,0.119093,0.95489,0.995174,1.0,1.0,1.0,0.5,79.559,80.819,200.0,150.0
304,126.97637762,37.35100321,306.34,134.62,101.36,746.12,199.48,7.37,378665861,전주남이2길,residential,0.0,0.096225,1.0,0.989183,0.979199,0.995007,0.989796,0.5,79.277,80.57,200.0,150.0
316,126.97618968,37.3780437,248.71,135.52,25.38,580.35,229.81,25.3,379044919,갈미로,tertiary,0.0,0.052625,1.0,1.0,1.0,0.975389,0.881054,0.5,77.272,80.357,200.0,150.0
317,126.97617401,37.38029707,224.36,332.22,104.19,339.85,183.88,22.75,361922207,갈미안로,tertiary,0.0,0.034205,0.979031,0.986005,1.0,1.0,0.8965,0.5,77.082,80.276,200.0,150.0
104,126.95405742,37.31484706,342.42,268.02,176.25,334.05,164.3,3.91,155793710,,service,0.0,0.123517,1.0,0.905,1.0,1.0,1.0,0.5,78.979,80.27,200.0,150.0
447,126.98742302,37.38710667,578.14,97.08,249.27,424.78,234.14,132.01,607123662,,service,0.0,0.301837,1.0,0.822915,1.0,0.972591,0.233936,0.5,69.018,80.154,200.0,150.0
319,126.97614266,37.3848038,224.44,158.61,54.11,218.82,235.31,57.53,82626320,내손로,tertiary,0.0,0.034266,1.0,1.0,1.0,0.971834,0.685608,0.5,74.167,80.12,200.0,150.0
484,126.99021652,37.39162562,337.48,135.56,120.45,767.33,218.08,40.31,585392821,안양판교로,primary,0.0,0.119783,1.0,0.967727,0.973019,0.982974,0.790047,0.5,76.194,80.099,200.0,150.0
