grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_school_m,score_gap_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_school_0_1,vulnerability_0_1,total_score_0_100,priority_rank,candidate_flag
536,126.99607599,37.36010256,2321.46,237.3,2314.78,290.56,1443.09,1.0,0.836368,0.522154,0.936093,0.477941,0.702546,88.102,1,True
537,126.99606092,37.36235594,2305.7,209.87,2377.43,334.55,1382.43,1.0,0.867208,0.503898,0.907636,0.505304,0.697892,87.916,2,True
504,126.99323783,37.36234388,2258.42,416.71,2140.25,182.82,1432.48,0.986232,0.634685,0.573002,1.0,0.482724,0.699896,87.17,3,True
535,126.99609105,37.35784918,2205.51,41.88,2277.98,426.53,1310.92,0.958684,1.0,0.532875,0.848139,0.53756,0.721582,86.384,4,True
503,126.99325298,37.3600905,2109.64,220.53,2070.43,76.97,1250.2,0.908774,0.855214,0.593346,1.0,0.564947,0.763456,85.065,8,True
289,126.97349112,37.38020756,1737.11,51.27,484.69,108.89,321.86,0.714838,1.0,1.0,1.0,0.9837,0.997555,82.792,9,True
317,126.97617401,37.38029707,1715.73,104.19,339.85,183.88,332.22,0.703708,0.986005,1.0,1.0,0.979031,0.994056,81.985,11,True
502,126.99326814,37.35783712,1981.32,104.44,2029.21,321.6,1094.99,0.841975,0.985718,0.605357,0.916015,0.63496,0.779067,81.681,13,True
471,126.99041475,37.36233175,2070.47,464.88,1906.35,282.71,1287.44,0.888386,0.580535,0.641152,0.941171,0.548149,0.705084,81.507,14,True
538,126.99604585,37.36460933,2057.91,160.84,2463.98,514.22,1225.2,0.881845,0.922319,0.478682,0.791411,0.576227,0.67586,79.945,19,True
345,126.97901335,37.37805617,1764.02,270.29,582.11,443.07,376.65,0.728846,0.799276,1.0,0.837436,0.958988,0.904934,79.928,20,True
470,126.99042998,37.36007837,1907.08,239.48,1827.62,228.96,1080.98,0.803323,0.833917,0.664092,0.975937,0.641282,0.788189,79.727,21,True
316,126.97618968,37.3780437,1621.85,25.38,580.35,229.81,135.52,0.654836,1.0,1.0,0.975389,1.0,0.992617,78.995,23,True
290,126.97359027,37.38255291,1655.13,172.54,354.46,344.79,370.94,0.672163,0.909173,1.0,0.901013,0.961563,0.946373,78.185,25,True
