grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_school_m,score_gap_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_school_0_1,vulnerability_0_1,total_score_0_100,priority_rank,candidate_flag
536,126.99607599,37.36010256,2321.46,237.3,2314.78,290.56,1443.09,1.0,0.836368,0.522154,0.936093,0.477941,0.702546,88.102,1,True
537,126.99606092,37.36235594,2305.7,209.87,2377.43,334.55,1382.43,1.0,0.867208,0.503898,0.907636,0.505304,0.697892,87.916,2,True
504,126.99323783,37.36234388,2258.42,416.71,2140.25,182.82,1432.48,0.986232,0.634685,0.573002,1.0,0.482724,0.699896,87.17,3,True
535,126.99609105,37.35784918,2205.51,41.88,2277.98,426.53,1310.92,0.958684,1.0,0.532875,0.848139,0.53756,0.721582,86.384,4,True
567,126.99889899,37.36011455,2537.82,138.57,2560.21,536.59,1415.66,1.0,0.947354,0.450643,0.776944,0.490312,0.653826,86.153,5,False
568,126.99888401,37.36236794,2287.85,198.6,2617.0,561.63,1212.07,1.0,0.879873,0.434098,0.760746,0.58215,0.643455,85.738,6,False
566,126.99891397,37.35786117,2434.72,131.29,2526.99,620.82,1537.21,1.0,0.955541,0.460322,0.722452,0.435486,0.63428,85.371,7,False
503,126.99325298,37.3600905,2109.64,220.53,2070.43,76.97,1250.2,0.908774,0.855214,0.593346,1.0,0.564947,0.763456,85.065,8,True
289,126.97349112,37.38020756,1737.11,51.27,484.69,108.89,321.86,0.714838,1.0,1.0,1.0,0.9837,0.997555,82.792,9,True
565,126.99892895,37.35560779,2351.16,312.73,2518.27,779.69,1457.4,1.0,0.751575,0.462863,0.619683,0.471487,0.568945,82.758,10,False
317,126.97617401,37.38029707,1715.73,104.19,339.85,183.88,332.22,0.703708,0.986005,1.0,1.0,0.979031,0.994056,81.985,11,True
598,127.001722,37.36012648,2546.28,327.25,2806.45,785.13,1298.88,1.0,0.735249,0.378898,0.616169,0.542988,0.545963,81.839,12,False
502,126.99326814,37.35783712,1981.32,104.44,2029.21,321.6,1094.99,0.841975,0.985718,0.605357,0.916015,0.63496,0.779067,81.681,13,True
471,126.99041475,37.36233175,2070.47,464.88,1906.35,282.71,1287.44,0.888386,0.580535,0.641152,0.941171,0.548149,0.705084,81.507,14,True
