"시군구별(1)",시군구별(2),2026.01,2026.01,2026.01,2026.01,2026.01,2026.01
"시군구별(1)",시군구별(2),합계 (명),세대수 (세대),내국인 (명),내국인 (명),내국인 (명),등록외국인 (명)
"시군구별(1)",시군구별(2),계,소계,계,남,여,계
"합계",소계,14231899,6128139,13736642,6897544,6839098,495257
"수원시",소계,1227049,542000,1186010,595607,590403,41039
"용인시",소계,1112533,448954,1090978,540236,550742,21555
"성남시",소계,924494,409559,906160,447536,458624,18334
"화성시",소계,1046247,428851,991092,513623,477469,55155
"부천시",소계,790444,342442,758212,373566,384646,32232
"안산시",소계,666421,287889,611860,313470,298390,54561
"평택시",소계,648679,293634,612095,321133,290962,36584
"안양시",소계,570685,240105,563348,277702,285646,7337
"시흥시",소계,557021,229833,514778,268038,246740,42243
"김포시",소계,511168,207331,484694,241809,242885,26474
"광주시",소계,412912,175938,397364,202293,195071,15548
"광명시",소계,300501,124760,297468,145645,151823,3033
"하남시",소계,330713,141010,328048,162741,165307,2665
"군포시",소계,256995,111651,251038,124386,126652,5957
"오산시",소계,261653,115605,250128,130474,119654,11525
"이천시",소계,234302,106815,222879,116405,106474,11423
"안성시",소계,212223,97100,196679,101659,95020,15544
"의왕시",소계,161938,66223,160842,79426,81416,1096
"양평군",소계,128743,63680,126986,63781,63205,1757
"여주시",소계,119208,56841,113885,58037,55848,5323
"과천시",소계,80198,28753,79951,38915,41036,247
"고양시",소계,1074350,466481,1059998,515712,544286,14352
"남양주시",소계,739686,308853,729552,360593,368959,10134
"파주시",소계,543841,233887,527182,265546,261636,16659
"의정부시",소계,469796,212488,461541,226568,234973,8255
"양주시",소계,306764,132605,296463,149038,147425,10301
"구리시",소계,187853,81890,186118,92161,93957,1735
"포천시",소계,157393,73793,140461,74317,66144,16932
"동두천시",소계,90778,43542,86331,42975,43356,4447
"가평군",소계,63392,33095,62026,31901,30125,1366
"연천군",소계,43919,22531,42475,22251,20224,1444
