시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반대분류명,법규위반내용,도로형태_대분류,도로형태,가해자 당사자 종별,당사자1_차종,피해자 당사자 종별,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수,WGS84위도,WGS84경도
의왕시,2021,2021-07-28 13시,주간,수요일,차대차,추돌,,,단일로,기타단일로,건설기계,,특수차,,2,1,4,0,1,37.35469612,126.96969
의왕시,2021,2021-02-26 15시,주간,금요일,차대차,기타,,,교차로,교차로내,자전거,,승용차,,1,0,1,0,0,37.34978983,126.9731004
의왕시,2020,2020-10-27 09시,주간,화요일,차대차,측면충돌,,,교차로,교차로부근,승용차,,자전거,,1,0,1,0,0,37.34193193,126.9776486
의왕시,2020,2020-10-18 02시,야간,일요일,차대사람,차도통행중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.39435712,127.020464
의왕시,2020,2020-09-17 01시,야간,목요일,차대차,추돌,,,단일로,기타단일로,승용차,,화물차,,1,1,6,0,4,37.31834533,126.9661082
의왕시,2020,2020-04-26 20시,야간,일요일,차량단독,공작물충돌,,,교차로,교차로부근,이륜차,,없음,,1,0,1,0,0,37.37427123,127.0065303
의왕시,2020,2020-04-06 05시,야간,월요일,차대사람,횡단중,,,교차로,교차로내,승용차,,보행자,,1,0,1,0,0,37.34961774,126.974942
의왕시,2019,2019-12-05 21시,야간,목요일,차대사람,차도통행중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.33382191,126.958142
의왕시,2019,2019-10-17 07시,주간,목요일,차대차,기타,,,교차로,교차로횡단보도내,자전거,,화물차,,1,0,1,0,0,37.31873995,126.9577424
의왕시,2019,2019-09-25 14시,주간,수요일,차량단독,공작물충돌,,,단일로,기타단일로,승합차,,없음,,1,7,19,4,7,37.38202147,126.9997134
의왕시,2019,2019-09-05 06시,주간,목요일,차대사람,횡단중,,,단일로,기타단일로,화물차,,보행자,,1,0,1,0,0,37.34517001,126.9760907
의왕시,2019,2019-07-07 04시,야간,일요일,차대차,추돌,,,단일로,기타단일로,승용차,,화물차,,1,0,1,0,0,37.32254276,126.9634487
의왕시,2019,2019-06-24 13시,주간,월요일,차대차,기타,,,교차로,교차로횡단보도내,승합차,,자전거,,1,0,1,0,0,37.36003882,126.9671342
의왕시,2019,2019-06-16 23시,야간,일요일,차량단독,공작물충돌,,,단일로,기타단일로,승용차,,없음,,1,0,1,0,0,37.3607199,126.9928874
의왕시,2019,2019-05-25 00시,야간,토요일,차대사람,차도통행중,,,단일로,터널안,화물차,,보행자,,1,0,1,0,0,37.3946809,127.0384024
의왕시,2019,2019-05-20 11시,주간,월요일,차대사람,횡단중,,,교차로,교차로횡단보도내,화물차,,보행자,,1,0,1,0,0,37.38411184,126.9786552
의왕시,2019,2019-03-18 13시,주간,월요일,차대차,추돌,,,단일로,기타단일로,화물차,,특수차,,1,1,2,0,0,37.39261467,127.0175604
의왕시,2018,2018-11-28 14시,주간,수요일,차대사람,횡단중,,,단일로,기타단일로,승합차,,보행자,,1,0,1,0,0,37.39083,127.0002084
의왕시,2018,2018-09-07 19시,야간,금요일,차대차,기타,,,교차로,교차로내,승용차,,원동기장치자전거,,1,0,1,0,0,37.39301755,126.9869309
의왕시,2018,2018-08-18 23시,야간,토요일,차량단독,공작물충돌,,,기타,기타,승용차,,없음,,1,1,2,0,0,37.38819671,127.0052653
의왕시,2018,2018-08-03 20시,야간,금요일,차대사람,차도통행중,,,교차로,교차로부근,승용차,,보행자,,1,0,1,0,0,37.33622258,126.9647399
의왕시,2018,2018-01-26 09시,주간,금요일,차량단독,기타,,,단일로,기타단일로,화물차,,없음,,1,0,1,0,0,37.38971957,127.0083947
의왕시,2017,2017-10-21 05시,야간,토요일,차대차,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,1,0,11,10,0,37.32576585,126.9566761
의왕시,2017,2017-10-01 19시,야간,일요일,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,1,1,2,0,0,37.35923661,126.9651412
의왕시,2017,2017-05-15 11시,주간,월요일,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,특수차,특수차,자전거,자전거,1,0,1,0,0,37.3340619,126.9633329
의왕시,2017,2017-03-22 06시,주간,수요일,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,1,0,1,0,0,37.37950478,126.9743497
의왕시,2017,2017-02-28 19시,야간,화요일,차대사람,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0,37.34125926,126.9784097
의왕시,2016,2016-12-27 18시,야간,화요일,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,소형,보행자,보행자,1,0,1,0,0,37.3912443,126.9812945
의왕시,2016,2016-12-01 12시,주간,목요일,차대차,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,화물차,대형,1,0,2,0,1,37.40139245,126.8425729
의왕시,2016,2016-06-16 21시,야간,목요일,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,1,1,2,0,0,37.35385178,126.9703508
의왕시,2016,2016-02-11 23시,야간,목요일,차대사람,횡단중,운전자법규위반,과속,단일로,기타단일로,화물차,중형,보행자,보행자,1,0,1,0,0,37.3477112,126.9841345
의왕시,2015,2015-11-04 00시,야간,수요일,차대차,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,중형,화물차,소형,1,1,3,0,1,37.38932147,127.0080358
의왕시,2015,2015-08-27 01시,야간,목요일,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,화물차,소형,1,0,1,0,0,37.32486376,126.9584885
의왕시,2015,2015-08-10 18시,야간,월요일,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,없음,없음,1,0,1,0,0,37.39425886,127.0184649
의왕시,2015,2015-03-26 02시,야간,목요일,차대차,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,승용차,중형,1,0,1,0,0,37.39231002,127.0114167
의왕시,2015,2015-03-06 00시,야간,금요일,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,중형,보행자,보행자,1,0,1,0,0,37.3416453,126.978057
의왕시,2015,2015-01-23 16시,주간,금요일,차대사람,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,1,0,1,0,0,37.3188129,126.9520537
의왕시,2014,2014-12-24 03시,야간,수요일,차대차,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,화물차,대형,2,0,2,0,0,37.32360347,126.9608226
의왕시,2014,2014-08-03 00시,야간,일요일,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,경형,없음,없음,1,0,1,0,0,37.32107679,126.9661679
의왕시,2014,2014-07-22 13시,주간,화요일,차대차,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,승용차,소형,1,0,1,0,0,37.39031753,126.9920555
의왕시,2014,2014-06-16 15시,주간,월요일,차대사람,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0,37.32096772,126.9502209
의왕시,2014,2014-06-14 00시,야간,토요일,차량단독,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,없음,없음,1,0,1,0,0,37.39268666,127.0131314
의왕시,2014,2014-05-07 22시,야간,수요일,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0,37.3163258,126.9541596
의왕시,2014,2014-03-14 02시,야간,금요일,차대차,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,화물차,중형,1,1,2,0,0,37.38604354,126.995925
의왕시,2014,2014-03-01 21시,야간,토요일,차대차,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,화물차,중형,1,0,1,0,0,37.378292,126.9981117
의왕시,2014,2014-02-26 17시,주간,수요일,차대차,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,승용차,대형,1,1,2,0,0,37.38397722,126.9975316
