학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,H_주소정리,H_part1,H_part2,H_part3,H_part4
B000022819,내손고등학교,고등학교,2025-03-01,공립,본교,운영,경기도 의왕시 내손동 846-2,경기도 의왕시 내손순환로 51,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3847776475,126.9783907823,2025-09-22,경기도 의왕시 내손동 846-2,경기도,의왕시,내손동,846-2
B000026563,백운호수초등학교,초등학교,2019-03-01,공립,본교,운영,경기도 의왕시 학의동 산 100-37,경기도 의왕시 백운중앙로 67,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3709216918,127.0073992643,2025-09-22,경기도 의왕시 학의동 산 100-37,경기도,의왕시,학의동,산
B000004070,의왕초등학교,초등학교,2002-03-01,공립,본교,운영,경기도 의왕시 오전동 27-5,경기도 의왕시 모락로 56,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3637298171,126.9681131909,2025-09-22,경기도 의왕시 오전동 27-5,경기도,의왕시,오전동,27-5
B000009382,백운중학교,중학교,1988-03-01,공립,본교,운영,경기도 의왕시 포일동 170-1,경기도 의왕시 안양판교로 168,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3904874456,126.9896594084,2025-09-22,경기도 의왕시 포일동 170-1,경기도,의왕시,포일동,170-1
B000004062,의왕부곡초등학교,초등학교,1945-11-16,공립,본교,운영,경기도 의왕시 삼동 158-3,경기도 의왕시 철도박물관로 143,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3159823558,126.9500766666,2025-09-22,경기도 의왕시 삼동 158-3,경기도,의왕시,삼동,158-3
B000009376,갈뫼중학교,중학교,2002-03-01,공립,본교,운영,경기도 의왕시 내손동 785,경기도 의왕시 갈미로 61,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3775057563,126.9748154727,2025-09-22,경기도 의왕시 내손동 785,경기도,의왕시,내손동,785
B000004071,덕장초등학교,초등학교,1944-04-01,공립,본교,운영,경기도 의왕시 청계동 975,경기도 의왕시 덕장로 33,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3922137788,126.9970699337,2025-09-22,경기도 의왕시 청계동 975,경기도,의왕시,청계동,975
B000022600,내동초등학교,초등학교,2013-06-05,공립,본교,운영,경기도 의왕시 내손동 848-1,경기도 의왕시 내손로 101,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3896150354,126.979758066,2025-09-22,경기도 의왕시 내손동 848-1,경기도,의왕시,내손동,848-1
B000009377,덕장중학교,중학교,2010-03-01,공립,본교,운영,경기도 의왕시 청계동 973,경기도 의왕시 덕장로 55,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3932307235,126.9988142219,2025-09-22,경기도 의왕시 청계동 973,경기도,의왕시,청계동,973
B000004068,의왕덕성초등학교,초등학교,2002-09-01,공립,본교,운영,경기도 의왕시 삼동 263,경기도 의왕시 덕영대로 123,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3216174526,126.958207075,2025-09-22,경기도 의왕시 삼동 263,경기도,의왕시,삼동,263
B000009381,의왕부곡중학교,중학교,1993-01-11,공립,본교,운영,경기도 의왕시 월암동 431,경기도 의왕시 부곡중학길 61,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3148338912,126.9570820685,2025-09-22,경기도 의왕시 월암동 431,경기도,의왕시,월암동,431
B000022601,모락고등학교,고등학교,2013-10-24,공립,본교,운영,경기도 의왕시 오전동 산58-10,경기도 의왕시 모락로 134,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3699623157,126.9669962817,2025-09-22,경기도 의왕시 오전동 산58-10,경기도,의왕시,오전동,산58-10
B000004066,백운초등학교,초등학교,1984-09-03,공립,본교,운영,경기도 의왕시 내손동 622,경기도 의왕시 백운초등길 4,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3857532801,126.9748031364,2025-09-22,경기도 의왕시 내손동 622,경기도,의왕시,내손동,622
B000013546,의왕고등학교,고등학교,2009-03-01,공립,본교,운영,경기도 의왕시 삼동 268,경기도 의왕시 덕영대로 115,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3224837336,126.958415303,2025-09-22,경기도 의왕시 삼동 268,경기도,의왕시,삼동,268
B000004069,모락초등학교,초등학교,2009-05-01,공립,본교,운영,경기도 의왕시 오전동 235,경기도 의왕시 보식골로 40,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3586971942,126.973501171,2025-09-22,경기도 의왕시 오전동 235,경기도,의왕시,오전동,235
B000009380,의왕중학교,중학교,1985-01-21,공립,본교,운영,경기도 의왕시 오전동 350-1,경기도 의왕시 등칙골길 28,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3520362268,126.9755800955,2025-09-22,경기도 의왕시 오전동 350-1,경기도,의왕시,오전동,350-1
B000011859,경기외국어고등학교,고등학교,2004-03-01,사립,본교,운영,경기도 의왕시 고천동 438-1,경기도 의왕시 고산로105번길 30,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3469439588,126.9596735365,2025-09-22,경기도 의왕시 고천동 438-1,경기도,의왕시,고천동,438-1
B000004060,포일초등학교,초등학교,2011-03-01,공립,본교,운영,경기도 의왕시 포일동 647,경기도 의왕시 포일세거리로 51,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3995740119,126.9856660043,2025-09-22,경기도 의왕시 포일동 647,경기도,의왕시,포일동,647
B000009379,고천중학교,중학교,1994-04-06,공립,본교,운영,경기도 의왕시 오전동 413,경기도 의왕시 백운로 25,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3523572636,126.9829848692,2025-09-22,경기도 의왕시 오전동 413,경기도,의왕시,오전동,413
B000004063,오전초등학교,초등학교,1993-09-01,공립,본교,운영,경기도 의왕시 오전동 848,경기도 의왕시 찬우물길 49,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3549427472,126.9724434065,2025-09-22,경기도 의왕시 오전동 848,경기도,의왕시,오전동,848
B000004065,갈뫼초등학교,초등학교,2002-10-02,공립,본교,운영,경기도 의왕시 내손동 780,경기도 의왕시 갈미로 27,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3766566444,126.9723817147,2025-09-22,경기도 의왕시 내손동 780,경기도,의왕시,내손동,780
B000009378,모락중학교,중학교,2008-05-04,공립,본교,운영,경기도 의왕시 오전동 11-4,경기도 의왕시 모락로 110,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3680459035,126.9677777982,2025-09-22,경기도 의왕시 오전동 11-4,경기도,의왕시,오전동,11-4
B000004064,내손초등학교,초등학교,1989-09-01,공립,본교,운영,경기도 의왕시 내손동 849-1,경기도 의왕시 내손순환로 175,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3888767368,126.9819999035,2025-09-22,경기도 의왕시 내손동 849-1,경기도,의왕시,내손동,849-1
B000004061,왕곡초등학교,초등학교,1997-03-01,공립,본교,운영,경기도 의왕시 왕곡동 604,경기도 의왕시 왕곡로 58,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3451893931,126.9804937472,2025-09-22,경기도 의왕시 왕곡동 604,경기도,의왕시,왕곡동,604
