위도,경도,유형,source,사고년도,발생건수,사상자수,사망자수,risk_score_raw,risk_percentile,hotspot_top20_flag,crs
37.38316592,126.9775197,사고다발,사고다발지현황.csv,2019.0,2.0,2.0,1.0,9.200000000000001,92.42424242424242,True,WGS84
37.38872959,126.9731669,사고다발,사고다발지현황.csv,2018.0,3.0,3.0,0.0,12.0,96.21212121212122,True,WGS84
37.31763048,126.9526195,사고다발,사고다발지현황.csv,2017.0,4.0,4.0,0.0,14.200000000000001,98.48484848484848,True,WGS84
37.38807233,126.9827797,사고다발,사고다발지현황.csv,2016.0,3.0,3.0,0.0,12.0,96.21212121212122,True,WGS84
37.35581743,126.9704951,사고다발,사고다발지현황.csv,2015.0,3.0,3.0,0.0,10.2,93.93939393939394,True,WGS84
37.35652926,126.966425,사고다발,사고다발지현황.csv,2014.0,4.0,4.0,0.0,8.8,89.39393939393939,True,WGS84
37.35880172,126.9654469,사고다발,사고다발지현황.csv,2012.0,5.0,5.0,0.0,16.4,100.0,True,WGS84
37.316,126.954,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.318,126.966,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.319,126.952,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.319,126.958,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.321,126.95,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.321,126.966,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.323,126.963,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.324,126.961,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.325,126.958,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.326,126.957,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.329,126.955,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.332,126.983,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.334,126.958,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.334,126.963,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.335,126.962,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.335,126.98,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.336,126.965,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.341,126.978,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.342,126.978,사망밀집,사망교통사고현황.csv,,,3.0,3.0,9.0,90.9090909090909,True,WGS84
37.343,126.977,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.343,126.98,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.345,126.976,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.346,126.97,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.348,126.984,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.35,126.973,사망밀집,사망교통사고현황.csv,,,2.0,2.0,6.0,87.87878787878788,True,WGS84
37.35,126.975,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.354,126.97,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.355,126.97,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.359,126.965,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.36,126.967,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.361,126.993,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.368,126.967,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.374,127.007,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.378,126.998,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.38,126.974,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.382,127.0,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.384,126.979,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.384,126.998,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.386,126.995,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.386,126.996,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.388,126.981,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.388,127.005,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.389,126.987,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.389,127.008,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.39,126.977,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.39,126.992,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.39,127.008,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.391,126.981,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.391,127.0,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.392,127.011,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.393,126.982,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.393,126.987,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.393,127.013,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.393,127.018,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.394,127.016,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.394,127.018,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.394,127.02,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.395,127.038,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
37.401,126.843,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84
