핫스팟ID,유형,위도,경도,최근접CCTV거리_m,최근접CCTV_위도,최근접CCTV_경도,사고년도,발생건수,사상자수,사망자수,risk_score_raw,risk_percentile,hotspot_top20_flag,source,커버여부_250m
66,사망밀집,37.401,126.843,11630.78,37.365484,126.966817,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
38,사망밀집,37.361,126.993,2148.9,37.349415,126.973541,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
42,사망밀집,37.38,126.974,1734.45,37.365484,126.966817,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
1,사고다발,37.38316592,126.9775197,1385.1,37.393462,126.986345,2019.0,2.0,2.0,1.0,9.2,92.42424242424242,True,사고다발지현황.csv,미커버
2,사고다발,37.38872959,126.9731669,1277.57,37.393462,126.986345,2018.0,3.0,3.0,0.0,12.0,96.21212121212122,True,사고다발지현황.csv,미커버
44,사망밀집,37.384,126.979,1236.08,37.393462,126.986345,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
40,사망밀집,37.374,127.007,1214.71,37.382988,126.999187,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
31,사망밀집,37.348,126.984,937.84,37.349415,126.973541,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
52,사망밀집,37.39,126.977,910.86,37.393462,126.986345,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
9,사망밀집,37.318,126.966,825.07,37.321361,126.957682,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
24,사망밀집,37.336,126.965,773.2,37.333086,126.95706,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
48,사망밀집,37.388,126.981,769.25,37.393462,126.986345,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
28,사망밀집,37.343,126.98,762.46,37.336143,126.980018,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
