ID,경도,관리기관명,관리기관전화번호,데이터기준일자,목적/유형,보관일수,보호구역구분,설치연도,설치위치설명,소재지도로명주소,소재지지번주소,시군명,시도명,위도,제한속도,촬영방면정보,출처,카메라대수,카메라화소수
H8812,127.0004577,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2023.0,청계사입구사거리(인덕원역→판교),,경기도 의왕시 청계동 806-23,의왕시,경기도,37.3883567,60.0,,무인교통단속카메라현황(의왕시),,
H4499,126.9505691,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2022.0,부곡초교 앞 어린이보호구역(의왕역→철도박물관),경기도 의왕시 철도박물관로 143,경기도 의왕시 삼동 158-3,의왕시,경기도,37.3163496,30.0,,무인교통단속카메라현황(의왕시),,
J0482,126.9664374,경기도남부경찰청,031-888-3952,2025-09-08,1,,2.0,2024.0,해모로아파트 107동 앞 어린이보호구역(의왕초교)(의왕초교→포도원사거리),경기도 의왕시 포도원로 40,경기도 의왕시 오전동 28,의왕시,경기도,37.36226181,30.0,,무인교통단속카메라현황(의왕시),,
J0483,126.9708793,경기도남부경찰청,031-888-3952,2025-09-08,1,,2.0,2024.0,대명솔채아파트 앞 어린이보호구역(모락초교)(모락초교→보석골로어린이공원),,경기도 의왕시 오전동 889,의왕시,경기도,37.3589872,30.0,,무인교통단속카메라현황(의왕시),,
J2704,126.9977443,경기도남부경찰청,031-888-3952,2025-09-08,1,,99.0,2024.0,"과천의왕간고속화도로 학의분기점 전 1,2차로(의왕→과천)",,경기도 의왕시 내손동 40,의왕시,경기도,37.37570439,90.0,,무인교통단속카메라현황(의왕시),,
J2705,126.9977443,경기도남부경찰청,031-888-3952,2025-09-08,1,,99.0,2024.0,"과천의왕간고속화도로 학의분기점 전 3,4차로(의왕→과천)",,경기도 의왕시 내손동 40,의왕시,경기도,37.37570439,90.0,,무인교통단속카메라현황(의왕시),,
J2706,126.9579144,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2024.0,부곡체육공원 앞(수원→부곡IC),경기도 의왕시 부곡공원길 3,경기도 의왕시 월암동 424-3,의왕시,경기도,37.3150375,50.0,,무인교통단속카메라현황(의왕시),,
J2708,127.0314183,경기도남부경찰청,031-888-3952,2025-09-08,1,,99.0,2024.0,하오고개 내리막길(판교→안양),경기도 의왕시 하오개로 60,경기도 의왕시 청계동 134-4,의왕시,경기도,37.39305598,60.0,,무인교통단속카메라현황(의왕시),,
J2709,126.9971021,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2024.0,양지편로삼거리(안양→판교),경기도 의왕시 덕장로 22,경기도 의왕시 청계동 982,의왕시,경기도,37.39032085,60.0,,무인교통단속카메라현황(의왕시),,
J1744,126.9707201,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2024.0,목련아파트 앞 삼거리 어린이보호구역(오전초교)(경기중앙교회→오전초교),경기도 의왕시 오전로 159,경기도 의왕시 오전동 842번지,의왕시,경기도,37.3558344,30.0,,무인교통단속카메라현황(의왕시),,
J1745,126.9861298,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2024.0,포일초교 앞 삼거리 어린이보호구역(숲속마을3단지→안양판교로),경기도 의왕시 포일세거리로 51,경기도 의왕시 포일동 647번지,의왕시,경기도,37.39994801,30.0,,무인교통단속카메라현황(의왕시),,
J1452,126.9563745,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2024.0,부곡IC입구교차로(의왕경찰서→의왕역),,경기도 의왕시 이동 293,의왕시,경기도,37.33271301,50.0,,무인교통단속카메라현황(의왕시),,
H3460,126.9803474,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2022.0,골사그내 교차로(안양→수원),경기도 의왕시 경수대로 81,경기도 의왕시 왕곡동 485-5,의왕시,경기도,37.3351827,60.0,,무인교통단속카메라현황(의왕시),,
H6709,126.9868831,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2022.0,포일로사거리(백운중→인덕원역),경기도 의왕시 안양판교로 127,경기도 의왕시 포일동 485-5,의왕시,경기도,37.39310201,60.0,,무인교통단속카메라현황(의왕시),,
H6710,126.9674448,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2022.0,의왕초교 앞 사거리 어린이보호구역(모락중학교→모락로사거리),,경기도 의왕시 오전동 28-15,의왕시,경기도,37.3626633,30.0,,무인교통단속카메라현황(의왕시),,
H8122,126.9754591,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2023.0,백운초교 앞 (농협삼거리 → 백운초교)어린이보호구역,경기도 의왕시 백운초등길 11,경기도 의왕시 내손동 713-5,의왕시,경기도,37.38680301,30.0,,무인교통단속카메라현황(의왕시),,
H8123,126.9577706,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2023.0,부곡주민센터사거리 (철도기술연구원삼거리 → 부곡IC),경기도 의왕시 장안중앙로 3,경기도 의왕시 삼동 587,의왕시,경기도,37.3184605,50.0,,무인교통단속카메라현황(의왕시),,
H8124,126.9982441,경기도남부경찰청,031-888-3952,2025-09-08,2,,2.0,2023.0,덕장초교사거리 (덕장중학교 → 덕장초교)어린이보호구역,,경기도 의왕시 청계동 999,의왕시,경기도,37.39197401,30.0,,무인교통단속카메라현황(의왕시),,
H7645,126.9665523,경기도남부경찰청,031-888-3952,2025-09-08,2,,99.0,2023.0,원골로삼거리(수원→안양),경기도 의왕시 원골로 3,경기도 의왕시 오전동 112-4,의왕시,경기도,37.3579067,60.0,,무인교통단속카메라현황(의왕시),,
