위도,경도,유형,source,사고년도,발생건수,사상자수,사망자수,risk_score_raw,risk_percentile,hotspot_top20_flag,crs,latitude,longitude,x,y,epsg,wkt
37.38316592,126.9775197,사고다발,사고다발지현황.csv,2019.0,2.0,2.0,1.0,9.2,92.42424242424242,True,WGS84,37.38316592,126.9775197,126.9775197,37.38316592,EPSG:4326,POINT (126.9775197 37.38316592)
37.38872959,126.9731669,사고다발,사고다발지현황.csv,2018.0,3.0,3.0,0.0,12.0,96.21212121212122,True,WGS84,37.38872959,126.9731669,126.9731669,37.38872959,EPSG:4326,POINT (126.9731669 37.38872959)
37.31763048,126.9526195,사고다발,사고다발지현황.csv,2017.0,4.0,4.0,0.0,14.2,98.48484848484848,True,WGS84,37.31763048,126.9526195,126.9526195,37.31763048,EPSG:4326,POINT (126.9526195 37.31763048)
37.38807233,126.9827797,사고다발,사고다발지현황.csv,2016.0,3.0,3.0,0.0,12.0,96.21212121212122,True,WGS84,37.38807233,126.9827797,126.9827797,37.38807233,EPSG:4326,POINT (126.9827797 37.38807233)
37.35581743,126.9704951,사고다발,사고다발지현황.csv,2015.0,3.0,3.0,0.0,10.2,93.93939393939394,True,WGS84,37.35581743,126.9704951,126.9704951,37.35581743,EPSG:4326,POINT (126.9704951 37.35581743)
37.35652926,126.966425,사고다발,사고다발지현황.csv,2014.0,4.0,4.0,0.0,8.8,89.39393939393939,True,WGS84,37.35652926,126.966425,126.966425,37.35652926,EPSG:4326,POINT (126.966425 37.35652926)
37.35880172,126.9654469,사고다발,사고다발지현황.csv,2012.0,5.0,5.0,0.0,16.4,100.0,True,WGS84,37.35880172,126.9654469,126.9654469,37.35880172,EPSG:4326,POINT (126.9654469 37.35880172)
37.316,126.954,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.316,126.954,126.954,37.316,EPSG:4326,POINT (126.954 37.316)
37.318,126.966,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.318,126.966,126.966,37.318,EPSG:4326,POINT (126.966 37.318)
37.319,126.952,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.319,126.952,126.952,37.319,EPSG:4326,POINT (126.952 37.319)
37.319,126.958,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.319,126.958,126.958,37.319,EPSG:4326,POINT (126.958 37.319)
37.321,126.95,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.321,126.95,126.95,37.321,EPSG:4326,POINT (126.95 37.321)
37.321,126.966,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.321,126.966,126.966,37.321,EPSG:4326,POINT (126.966 37.321)
37.323,126.963,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.323,126.963,126.963,37.323,EPSG:4326,POINT (126.963 37.323)
37.324,126.961,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.324,126.961,126.961,37.324,EPSG:4326,POINT (126.961 37.324)
37.325,126.958,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.325,126.958,126.958,37.325,EPSG:4326,POINT (126.958 37.325)
37.326,126.957,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.326,126.957,126.957,37.326,EPSG:4326,POINT (126.957 37.326)
37.329,126.955,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.329,126.955,126.955,37.329,EPSG:4326,POINT (126.955 37.329)
37.332,126.983,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.332,126.983,126.983,37.332,EPSG:4326,POINT (126.983 37.332)
