시군명,정류소명,정류소id,위도,경도,crs,source_file,latitude,longitude,x,y,epsg,wkt
의왕시,LG아파트,226000112,37.3672333,126.9666333,WGS84,자료/버스정류소현황.xls,37.3672333,126.9666333,126.9666333,37.3672333,EPSG:4326,POINT (126.9666333 37.3672333)
의왕시,LG아파트,226000003,37.3672,126.9669167,WGS84,자료/버스정류소현황.xls,37.3672,126.9669167,126.9669167,37.3672,EPSG:4326,POINT (126.9669167 37.3672)
의왕시,가구골목(마을),226000244,37.36235,126.9663667,WGS84,자료/버스정류소현황.xls,37.36235,126.9663667,126.9663667,37.36235,EPSG:4326,POINT (126.9663667 37.36235)
의왕시,가구골목(마을),226000245,37.3623,126.96625,WGS84,자료/버스정류소현황.xls,37.3623,126.96625,126.96625,37.3623,EPSG:4326,POINT (126.96625 37.3623)
의왕시,가구단지입구,226000045,37.36085,126.9627,WGS84,자료/버스정류소현황.xls,37.36085,126.9627,126.9627,37.36085,EPSG:4326,POINT (126.9627 37.36085)
의왕시,가구단지입구,226000166,37.3634833,126.9661,WGS84,자료/버스정류소현황.xls,37.3634833,126.9661,126.9661,37.3634833,EPSG:4326,POINT (126.9661 37.3634833)
의왕시,가구단지입구,226000124,37.36,126.9642333,WGS84,자료/버스정류소현황.xls,37.36,126.9642333,126.9642333,37.36,EPSG:4326,POINT (126.9642333 37.36)
의왕시,가구단지입구,226000167,37.3635333,126.9658833,WGS84,자료/버스정류소현황.xls,37.3635333,126.9658833,126.9658833,37.3635333,EPSG:4326,POINT (126.9658833 37.3635333)
의왕시,갈뫼중학교.내손1동주민센터,226000128,37.3773,126.9752667,WGS84,자료/버스정류소현황.xls,37.3773,126.9752667,126.9752667,37.3773,EPSG:4326,POINT (126.9752667 37.3773)
의왕시,갈뫼중학교.내손1동주민센터,226000064,37.3779,126.9759667,WGS84,자료/버스정류소현황.xls,37.3779,126.9759667,126.9759667,37.3779,EPSG:4326,POINT (126.9759667 37.3779)
의왕시,갈뫼초등학교,226000065,37.3760667,126.9731667,WGS84,자료/버스정류소현황.xls,37.3760667,126.9731667,126.9731667,37.3760667,EPSG:4326,POINT (126.9731667 37.3760667)
의왕시,갈뫼초등학교,226000127,37.3761833,126.9723,WGS84,자료/버스정류소현황.xls,37.3761833,126.9723,126.9723,37.3761833,EPSG:4326,POINT (126.9723 37.3761833)
의왕시,강진마을,226000388,37.3196833,126.9350333,WGS84,자료/버스정류소현황.xls,37.3196833,126.9350333,126.9350333,37.3196833,EPSG:4326,POINT (126.9350333 37.3196833)
의왕시,경기외고,226000037,37.3517167,126.9610167,WGS84,자료/버스정류소현황.xls,37.3517167,126.9610167,126.9610167,37.3517167,EPSG:4326,POINT (126.9610167 37.3517167)
의왕시,경기외고,226000027,37.3518333,126.9610667,WGS84,자료/버스정류소현황.xls,37.3518333,126.9610667,126.9610667,37.3518333,EPSG:4326,POINT (126.9610667 37.3518333)
의왕시,경기외국어고등학교,226508770,37.3466667,126.9582667,WGS84,자료/버스정류소현황.xls,37.3466667,126.9582667,126.9582667,37.3466667,EPSG:4326,POINT (126.9582667 37.3466667)
의왕시,계원예술대학교,226000123,37.3796833,126.9752833,WGS84,자료/버스정류소현황.xls,37.3796833,126.9752833,126.9752833,37.3796833,EPSG:4326,POINT (126.9752833 37.3796833)
의왕시,계원예술대학교,226000140,37.3791833,126.97515,WGS84,자료/버스정류소현황.xls,37.3791833,126.97515,126.97515,37.3791833,EPSG:4326,POINT (126.97515 37.3791833)
의왕시,고고리마을입구,226000041,37.3420167,126.9776667,WGS84,자료/버스정류소현황.xls,37.3420167,126.9776667,126.9776667,37.3420167,EPSG:4326,POINT (126.9776667 37.3420167)
의왕시,고천,226000035,37.3497833,126.9721333,WGS84,자료/버스정류소현황.xls,37.3497833,126.9721333,126.9721333,37.3497833,EPSG:4326,POINT (126.9721333 37.3497833)
의왕시,고천.의왕시청,226000042,37.3478,126.9739,WGS84,자료/버스정류소현황.xls,37.3478,126.9739,126.9739,37.3478,EPSG:4326,POINT (126.9739 37.3478)
의왕시,고천.의왕시청,226000048,37.3485167,126.9739667,WGS84,자료/버스정류소현황.xls,37.3485167,126.9739667,126.9739667,37.3485167,EPSG:4326,POINT (126.9739667 37.3485167)
의왕시,고천다목적체육관,226000225,37.3477667,126.9820167,WGS84,자료/버스정류소현황.xls,37.3477667,126.9820167,126.9820167,37.3477667,EPSG:4326,POINT (126.9820167 37.3477667)
의왕시,고천동주민센터,226000049,37.3462833,126.9751833,WGS84,자료/버스정류소현황.xls,37.3462833,126.9751833,126.9751833,37.3462833,EPSG:4326,POINT (126.9751833 37.3462833)
의왕시,고천중학교,226000322,37.352,126.9824167,WGS84,자료/버스정류소현황.xls,37.352,126.9824167,126.9824167,37.352,EPSG:4326,POINT (126.9824167 37.352)
의왕시,고천중학교,226000321,37.352,126.98285,WGS84,자료/버스정류소현황.xls,37.352,126.98285,126.98285,37.352,EPSG:4326,POINT (126.98285 37.352)
의왕시,고천체육공원,226000235,37.3466667,126.9818333,WGS84,자료/버스정류소현황.xls,37.3466667,126.9818333,126.9818333,37.3466667,EPSG:4326,POINT (126.9818333 37.3466667)
의왕시,고천체육공원,226000177,37.34595,126.9826167,WGS84,자료/버스정류소현황.xls,37.34595,126.9826167,126.9826167,37.34595,EPSG:4326,POINT (126.9826167 37.34595)
의왕시,고천체육공원,226000315,37.3457667,126.98255,WGS84,자료/버스정류소현황.xls,37.3457667,126.98255,126.98255,37.3457667,EPSG:4326,POINT (126.98255 37.3457667)
의왕시,고천파출소,226000125,37.3459,126.9749333,WGS84,자료/버스정류소현황.xls,37.3459,126.9749333,126.9749333,37.3459,EPSG:4326,POINT (126.9749333 37.3459)
의왕시,골사그네,226000040,37.3349,126.98035,WGS84,자료/버스정류소현황.xls,37.3349,126.98035,126.98035,37.3349,EPSG:4326,POINT (126.98035 37.3349)
의왕시,골사그네,226000051,37.3354667,126.98085,WGS84,자료/버스정류소현황.xls,37.3354667,126.98085,126.98085,37.3354667,EPSG:4326,POINT (126.98085 37.3354667)
