위도,경도,유형,위험도점수,cctv_coverage_m,bus_influence_m,nearest_cctv_m,근거,crs,latitude,longitude,x,y,epsg,wkt
37.38316592,126.9775197,사고다발,9.2,150.0,,1385.0955411166383,핫스팟 + CCTV 150m 미커버,WGS84,37.38316592,126.9775197,126.9775197,37.38316592,EPSG:4326,POINT (126.9775197 37.38316592)
37.38872959,126.9731669,사고다발,12.0,150.0,,1277.5687325224585,핫스팟 + CCTV 150m 미커버,WGS84,37.38872959,126.9731669,126.9731669,37.38872959,EPSG:4326,POINT (126.9731669 37.38872959)
37.31763048,126.9526195,사고다발,14.2,150.0,,610.2690454422149,핫스팟 + CCTV 150m 미커버,WGS84,37.31763048,126.9526195,126.9526195,37.31763048,EPSG:4326,POINT (126.9526195 37.31763048)
37.38807233,126.9827797,사고다발,12.0,150.0,,676.9714525723664,핫스팟 + CCTV 150m 미커버,WGS84,37.38807233,126.9827797,126.9827797,37.38807233,EPSG:4326,POINT (126.9827797 37.38807233)
37.35581743,126.9704951,사고다발,10.2,150.0,,534.0936711828457,핫스팟 + CCTV 150m 미커버,WGS84,37.35581743,126.9704951,126.9704951,37.35581743,EPSG:4326,POINT (126.9704951 37.35581743)
37.35652926,126.966425,사고다발,8.8,150.0,,290.14609580312,핫스팟 + CCTV 150m 미커버,WGS84,37.35652926,126.966425,126.966425,37.35652926,EPSG:4326,POINT (126.966425 37.35652926)
37.316,126.954,사고다발,3.0,150.0,,409.4316003623216,핫스팟 + CCTV 150m 미커버,WGS84,37.316,126.954,126.954,37.316,EPSG:4326,POINT (126.954 37.316)
37.318,126.966,사고다발,3.0,150.0,,825.0725641802674,핫스팟 + CCTV 150m 미커버,WGS84,37.318,126.966,126.966,37.318,EPSG:4326,POINT (126.966 37.318)
37.319,126.952,사고다발,3.0,150.0,,566.8600708477343,핫스팟 + CCTV 150m 미커버,WGS84,37.319,126.952,126.952,37.319,EPSG:4326,POINT (126.952 37.319)
37.319,126.958,사고다발,3.0,150.0,,264.0075562987902,핫스팟 + CCTV 150m 미커버,WGS84,37.319,126.958,126.958,37.319,EPSG:4326,POINT (126.958 37.319)
37.321,126.95,사고다발,3.0,150.0,,680.4492985889614,핫스팟 + CCTV 150m 미커버,WGS84,37.321,126.95,126.95,37.321,EPSG:4326,POINT (126.95 37.321)
37.321,126.966,사고다발,3.0,150.0,,736.6700880171154,핫스팟 + CCTV 150m 미커버,WGS84,37.321,126.966,126.966,37.321,EPSG:4326,POINT (126.966 37.321)
37.323,126.963,사고다발,3.0,150.0,,504.3767274649328,핫스팟 + CCTV 150m 미커버,WGS84,37.323,126.963,126.963,37.323,EPSG:4326,POINT (126.963 37.323)
37.324,126.961,사고다발,3.0,150.0,,415.0049508920303,핫스팟 + CCTV 150m 미커버,WGS84,37.324,126.961,126.961,37.324,EPSG:4326,POINT (126.961 37.324)
37.325,126.958,사고다발,3.0,150.0,,405.6459525694328,핫스팟 + CCTV 150m 미커버,WGS84,37.325,126.958,126.958,37.325,EPSG:4326,POINT (126.958 37.325)
37.326,126.957,사고다발,3.0,150.0,,519.3714711190195,핫스팟 + CCTV 150m 미커버,WGS84,37.326,126.957,126.957,37.326,EPSG:4326,POINT (126.957 37.326)
37.329,126.955,사고다발,3.0,150.0,,489.4632112064037,핫스팟 + CCTV 150m 미커버,WGS84,37.329,126.955,126.955,37.329,EPSG:4326,POINT (126.955 37.329)
37.332,126.983,사고다발,3.0,150.0,,530.8033644868285,핫스팟 + CCTV 150m 미커버,WGS84,37.332,126.983,126.983,37.332,EPSG:4326,POINT (126.983 37.332)
