위도,경도,유형,위험도점수,cctv_coverage_m,bus_influence_m,nearest_cctv_m,근거,crs,latitude,longitude,x,y,epsg,wkt
37.3672333,126.9666333,정류소,,,150.0,195.20193306111736,버스정류장 150m 내 CCTV 없음,WGS84,37.3672333,126.9666333,126.9666333,37.3672333,EPSG:4326,POINT (126.9666333 37.3672333)
37.3672,126.9669167,정류소,,,150.0,191.029552995857,버스정류장 150m 내 CCTV 없음,WGS84,37.3672,126.9669167,126.9669167,37.3672,EPSG:4326,POINT (126.9669167 37.3672)
37.36235,126.9663667,정류소,,,150.0,350.73246949647137,버스정류장 150m 내 CCTV 없음,WGS84,37.36235,126.9663667,126.9663667,37.36235,EPSG:4326,POINT (126.9663667 37.36235)
37.3623,126.96625,정류소,,,150.0,353.02143199402946,버스정류장 150m 내 CCTV 없음,WGS84,37.3623,126.96625,126.96625,37.3623,EPSG:4326,POINT (126.96625 37.3623)
37.36085,126.9627,정류소,,,150.0,357.5484898830542,버스정류장 150m 내 CCTV 없음,WGS84,37.36085,126.9627,126.9627,37.36085,EPSG:4326,POINT (126.9627 37.36085)
37.3634833,126.9661,정류소,,,150.0,231.29499181973316,버스정류장 150m 내 CCTV 없음,WGS84,37.3634833,126.9661,126.9661,37.3634833,EPSG:4326,POINT (126.9661 37.3634833)
37.36,126.9642333,정류소,,,150.0,192.6191783182957,버스정류장 150m 내 CCTV 없음,WGS84,37.36,126.9642333,126.9642333,37.36,EPSG:4326,POINT (126.9642333 37.36)
37.3635333,126.9658833,정류소,,,150.0,232.050787858486,버스정류장 150m 내 CCTV 없음,WGS84,37.3635333,126.9658833,126.9658833,37.3635333,EPSG:4326,POINT (126.9658833 37.3635333)
37.3773,126.9752667,정류소,,,150.0,1511.2573283230845,버스정류장 150m 내 CCTV 없음,WGS84,37.3773,126.9752667,126.9752667,37.3773,EPSG:4326,POINT (126.9752667 37.3773)
37.3779,126.9759667,정류소,,,150.0,1599.9592247534783,버스정류장 150m 내 CCTV 없음,WGS84,37.3779,126.9759667,126.9759667,37.3779,EPSG:4326,POINT (126.9759667 37.3779)
37.3760667,126.9731667,정류소,,,150.0,1303.702615549202,버스정류장 150m 내 CCTV 없음,WGS84,37.3760667,126.9731667,126.9731667,37.3760667,EPSG:4326,POINT (126.9731667 37.3760667)
37.3761833,126.9723,정류소,,,150.0,1284.6137708264862,버스정류장 150m 내 CCTV 없음,WGS84,37.3761833,126.9723,126.9723,37.3761833,EPSG:4326,POINT (126.9723 37.3761833)
37.3196833,126.9350333,정류소,,,150.0,2011.4213139978428,버스정류장 150m 내 CCTV 없음,WGS84,37.3196833,126.9350333,126.9350333,37.3196833,EPSG:4326,POINT (126.9350333 37.3196833)
37.3517167,126.9610167,정류소,,,150.0,939.187462726094,버스정류장 150m 내 CCTV 없음,WGS84,37.3517167,126.9610167,126.9610167,37.3517167,EPSG:4326,POINT (126.9610167 37.3517167)
37.3518333,126.9610667,정류소,,,150.0,925.6945392398932,버스정류장 150m 내 CCTV 없음,WGS84,37.3518333,126.9610667,126.9610667,37.3518333,EPSG:4326,POINT (126.9610667 37.3518333)
