관리기관명,설치목적구분,카메라대수,위도,경도,데이터기준일자,source_file,crs,latitude,longitude,x,y,epsg,wkt
경기도 의왕시,교통단속,1,37.3829883824,126.9991870906,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3829883824,126.9991870906,126.9991870906,37.3829883824,EPSG:4326,POINT (126.9991870906 37.3829883824)
경기도 의왕시,교통단속,1,37.3932605193,127.0144563194,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3932605193,127.0144563194,127.0144563194,37.3932605193,EPSG:4326,POINT (127.0144563194 37.3932605193)
경기도 의왕시,교통단속,1,37.3033001963,126.9604024335,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3033001963,126.9604024335,126.9604024335,37.3033001963,EPSG:4326,POINT (126.9604024335 37.3033001963)
경기도 의왕시,교통단속,1,37.321360736,126.9576815973,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.321360736,126.9576815973,126.9576815973,37.321360736,EPSG:4326,POINT (126.9576815973 37.321360736)
경기도 의왕시,교통단속,1,37.3430166121,126.9711971273,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3430166121,126.9711971273,126.9711971273,37.3430166121,EPSG:4326,POINT (126.9711971273 37.3430166121)
경기도 의왕시,교통단속,1,37.3361430356,126.9800177283,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3361430356,126.9800177283,126.9800177283,37.3361430356,EPSG:4326,POINT (126.9800177283 37.3361430356)
경기도 의왕시,교통단속,1,37.3591269975,126.966115683,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3591269975,126.966115683,126.966115683,37.3591269975,EPSG:4326,POINT (126.966115683 37.3591269975)
경기도 의왕시,교통단속,1,37.3934615282,126.9863445712,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3934615282,126.9863445712,126.9863445712,37.3934615282,EPSG:4326,POINT (126.9863445712 37.3934615282)
경기도 의왕시,교통단속,1,37.3888490816,126.996898038,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3888490816,126.996898038,126.996898038,37.3888490816,EPSG:4326,POINT (126.996898038 37.3888490816)
경기도 의왕시,교통단속,1,37.3938196947,127.0375673584,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3938196947,127.0375673584,127.0375673584,37.3938196947,EPSG:4326,POINT (127.0375673584 37.3938196947)
경기도 의왕시,교통단속,1,37.3138803294,126.9577856658,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3138803294,126.9577856658,126.9577856658,37.3138803294,EPSG:4326,POINT (126.9577856658 37.3138803294)
경기도 의왕시,교통단속,1,37.3138803294,126.9577856658,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3138803294,126.9577856658,126.9577856658,37.3138803294,EPSG:4326,POINT (126.9577856658 37.3138803294)
경기도 의왕시,교통단속,1,37.3330858595,126.957059609,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3330858595,126.957059609,126.957059609,37.3330858595,EPSG:4326,POINT (126.957059609 37.3330858595)
경기도 의왕시,교통단속,1,37.3494147174,126.9735407283,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3494147174,126.9735407283,126.9735407283,37.3494147174,EPSG:4326,POINT (126.9735407283 37.3494147174)
경기도 의왕시,교통단속,1,37.3654838691,126.9668167064,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84,37.3654838691,126.9668167064,126.9668167064,37.3654838691,EPSG:4326,POINT (126.9668167064 37.3654838691)
