관리기관명,설치목적구분,카메라대수,위도,경도,데이터기준일자,source_file,crs
경기도 의왕시,교통단속,1,37.3829883824,126.9991870906,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.3932605193,127.0144563194,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.3033001963,126.9604024335,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.321360736,126.9576815973,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.3430166121,126.9711971273,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.3361430356,126.9800177283,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.3591269975,126.966115683,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.3934615282,126.9863445712,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.3888490816,126.996898038,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.3938196947,127.0375673584,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.3138803294,126.9577856658,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.3138803294,126.9577856658,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.3330858595,126.957059609,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.3494147174,126.9735407283,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
경기도 의왕시,교통단속,1,37.3654838691,126.9668167064,2025-07-14,자료/CCTV현황(제공표준).xls,WGS84
