무인교통단속카메라관리번호,시도명,시군명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,source_file,source_sheet
,,,,,,,,경기도 의왕시 학의동 259-7,37.3829883824,126.9991870906,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 청계동 522-4,37.3932605193,127.0144563194,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 월암동 산 75-9,37.3033001963,126.9604024335,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 삼동 522-30,37.321360736,126.9576815973,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 고천동 110,37.3430166121,126.9711971273,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 왕곡동 494-3,37.3361430356,126.9800177283,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 학의동 916-3,,,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 오전동 838-11,37.3591269975,126.966115683,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 포일동 505-9,37.3934615282,126.9863445712,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 청계동 828-19,37.3888490816,126.996898038,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 청계동 산8-69,37.3938196947,127.0375673584,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 학의동 694,,,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 학의동 575-2,,,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 월암동 399-1,37.3138803294,126.9577856658,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 월암동 399-1,37.3138803294,126.9577856658,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 이동 301-2,37.3330858595,126.957059609,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 고천동 307-1,37.3494147174,126.9735407283,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
,,,,,,,,경기도 의왕시 오전동 24-11,37.3654838691,126.9668167064,,,,,2025,,,,무인교통단속카메라현황(제공표준).xls,의왕시 현황
