무인교통단속카메라관리번호,시도명,시군명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,source_file,source_sheet
H8812,경기도,의왕시,지방도,57.0,안양판교로,3.0,,경기도 의왕시 청계동 806-23,37.3883567,127.0004577,청계사입구사거리(인덕원역→판교),2.0,60.0,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
H4499,경기도,의왕시,시도,,부곡초등길,3.0,경기도 의왕시 철도박물관로 143,경기도 의왕시 삼동 158-3,37.3163496,126.9505691,부곡초교 앞 어린이보호구역(의왕역→철도박물관),2.0,30.0,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J0482,경기도,의왕시,시도,,포도원로,3.0,경기도 의왕시 포도원로 40,경기도 의왕시 오전동 28,37.36226181,126.9664374,해모로아파트 107동 앞 어린이보호구역(의왕초교)(의왕초교→포도원사거리),1.0,30.0,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J0483,경기도,의왕시,시도,,보식골로,3.0,,경기도 의왕시 오전동 889,37.3589872,126.9708793,대명솔채아파트 앞 어린이보호구역(모락초교)(모락초교→보석골로어린이공원),1.0,30.0,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J2704,경기도,의왕시,기타,,과천봉담도시고속화대로,3.0,,경기도 의왕시 내손동 40,37.37570439,126.9977443,"과천의왕간고속화도로 학의분기점 전 1,2차로(의왕→과천)",1.0,90.0,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J2705,경기도,의왕시,기타,,과천봉담도시고속화대로,3.0,,경기도 의왕시 내손동 40,37.37570439,126.9977443,"과천의왕간고속화도로 학의분기점 전 3,4차로(의왕→과천)",1.0,90.0,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J2706,경기도,의왕시,시도,,덕영대로,3.0,경기도 의왕시 부곡공원길 3,경기도 의왕시 월암동 424-3,37.3150375,126.9579144,부곡체육공원 앞(수원→부곡IC),2.0,50.0,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J2708,경기도,의왕시,지방도,57.0,안양판교로,3.0,경기도 의왕시 하오개로 60,경기도 의왕시 청계동 134-4,37.39305598,127.0314183,하오고개 내리막길(판교→안양),1.0,60.0,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J2709,경기도,의왕시,지방도,57.0,안양판교로,3.0,경기도 의왕시 덕장로 22,경기도 의왕시 청계동 982,37.39032085,126.9971021,양지편로삼거리(안양→판교),2.0,60.0,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
J1744,경기도,의왕시,시도,,오전로,3.0,경기도 의왕시 오전로 159,경기도 의왕시 오전동 842번지,37.3558344,126.9707201,목련아파트 앞 삼거리 어린이보호구역(오전초교)(경기중앙교회→오전초교),2.0,30.0,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황
