소재지지번주소,위도,경도,설치연도
경기도 의왕시 청계동 806-23,37.388357,127.000458,2023
경기도 의왕시 삼동 158-3,37.316350,126.950569,2022
경기도 의왕시 오전동 28,37.362262,126.966437,2024
경기도 의왕시 오전동 889,37.358987,126.970879,2024
경기도 의왕시 내손동 40,37.375704,126.997744,2024
경기도 의왕시 내손동 40,37.375704,126.997744,2024
경기도 의왕시 월암동 424-3,37.315038,126.957914,2024
경기도 의왕시 청계동 134-4,37.393056,127.031418,2024
경기도 의왕시 청계동 982,37.390321,126.997102,2024
경기도 의왕시 오전동 842번지,37.355834,126.970720,2024
경기도 의왕시 포일동 647번지,37.399948,126.986130,2024
경기도 의왕시 이동 293,37.332713,126.956374,2024
경기도 의왕시 왕곡동 485-5,37.335183,126.980347,2022
경기도 의왕시 포일동 485-5,37.393102,126.986883,2022
경기도 의왕시 오전동 28-15,37.362663,126.967445,2022
경기도 의왕시 내손동 713-5,37.386803,126.975459,2023
경기도 의왕시 삼동 587,37.318461,126.957771,2023
경기도 의왕시 청계동 999,37.391974,126.998244,2023
경기도 의왕시 오전동 112-4,37.357907,126.966552,2023
경기도 의왕시 오전동 875-4,37.349730,126.973308,2023
경기도 의왕시 왕곡동 604번지,37.346031,126.980222,2022
경기도 의왕시 오전동 468-8,37.354054,126.986160,2022
경기도 의왕시 고천동 317,37.351999,126.971196,2024
경기도 의왕시 고천동 480-2,37.352711,126.970979,2024
경기도 의왕시 포일동 680,37.396243,126.985463,2023
경기도 의왕시 포일동 505-98,37.392740,126.986604,2023
경기도 의왕시 오전동 868,37.355172,126.971688,2018
경기도 의왕시 내손동 4-10,37.377716,127.000792,2020
경기도 의왕시 학의동 295-4,37.377496,127.002189,2020
경기도 의왕시 학의동 476-22,37.383957,127.011120,2020
경기도 의왕시 학의동 1174,37.374601,127.007199,2022
경기도 의왕시 오전동 663-14번지 포레스트공감,37.359502,126.992290,2022
,37.391051,126.980867,2019
경기도 의왕시 오전동 854번지,37.350584,126.980369,2019
경기도 의왕시 삼동 627,37.317927,126.957592,2019
경기도 의왕시 내손동 755번지,37.379368,126.973923,2019
경기도 의왕시 왕곡동 457-10,37.338613,126.979830,2019
경기도 의왕시 삼동 산 41-9,37.324735,126.957902,2019
경기도 의왕시 이동 465-8,37.336280,126.964550,2018
경기도 의왕시 내손동 222-1,37.377858,126.984955,2023
경기도 의왕시 왕곡동 산 91-5,37.333228,126.981990,2023
경기도 의왕시 내손동 713-59,37.387168,126.975506,2019
경기도 의왕시 왕곡동 613,37.346174,126.979776,2019
경기도 의왕시 삼동 607번지 의왕푸르지오포레움,37.320264,126.959251,2019
경기도 의왕시 청계동 975번지,37.391448,126.997296,2019
경기도 의왕시 내손동 713-5,37.383845,126.973911,2022
경기도 의왕시 내손동 713-5,37.387922,126.978525,2023
경기도 의왕시 학의동 378-6,37.382376,127.010274,2020
경기도 의왕시 학의동 1104,37.370304,127.006835,2021
경기도 의왕시 청계동 530-13,37.392485,127.012628,2022
경기도 의왕시 청계동 835-26,37.389174,126.996982,2017
경기도 의왕시 학의동 1149,37.370282,127.007242,2022
경기도 의왕시 오전동 산 79-5,37.363265,126.967661,2024
경기도 의왕시 청계동 835-26,37.389303,126.996663,2024
경기도 의왕시 왕곡동 39번지,37.346193,126.998111,2024
경기도 의왕시 내손동 743번지,37.379874,126.973585,2019
경기도 의왕시 포일동 647번지,37.400288,126.986180,2019
경기도 의왕시 포일동 485-17,37.395251,126.984630,2022
경기도 의왕시 내손동 713-5,37.388792,126.981243,2019
경기도 의왕시 왕곡동 산 91-5,37.333211,126.981950,2023
경기도 의왕시 학의동 649,37.372307,127.002770,2023
경기도 의왕시 학의동 259-7,37.382988,126.999187,2025
경기도 의왕시 청계동 522-4,37.393261,127.014456,2025
경기도 의왕시 월암동 산 75-9,37.303300,126.960402,2025
경기도 의왕시 삼동 522-30,37.321361,126.957682,2025
경기도 의왕시 고천동 110,37.343017,126.971197,2025
경기도 의왕시 왕곡동 494-3,37.336143,126.980018,2025
경기도 의왕시 학의동 916-3,미상,미상,2025
경기도 의왕시 오전동 838-11,37.359127,126.966116,2025
경기도 의왕시 포일동 505-9,37.393462,126.986345,2025
경기도 의왕시 청계동 828-19,37.388849,126.996898,2025
경기도 의왕시 청계동 산8-69,37.393820,127.037567,2025
경기도 의왕시 학의동 694,미상,미상,2025
경기도 의왕시 학의동 575-2,미상,미상,2025
경기도 의왕시 월암동 399-1,37.313880,126.957786,2025
경기도 의왕시 월암동 399-1,37.313880,126.957786,2025
경기도 의왕시 이동 301-2,37.333086,126.957060,2025
경기도 의왕시 고천동 307-1,37.349415,126.973541,2025
경기도 의왕시 오전동 24-11,37.365484,126.966817,2025
