순번,무인교통단속카메라관리번호,시도명,시군명,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치장소,단속구분,제한속도,보호구역구분,관리기관명,관리기관전화번호,설치목적구분,카메라대수_CCTV현황,데이터기준일자,source_file,source_sheet,매칭기준_소재지지번주소
1,G2751,경기도,의왕시,경기도 의왕시 내손동 713-59,경기도 의왕시 내손동 713-59,37.387168,126.975506,2019,백운초교 앞 어린이보호구역(백운초교-&amp;gt;평촌교회),2.0,30,2,경기도남부경찰청,031-888-3952,생활방범,5,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 내손동 713-59
2,G2753,경기도,의왕시,경기도 의왕시 왕곡동 613,경기도 의왕시 왕곡동 613,37.346174,126.979776,2019,왕곡초교사거리 어린이보호구역(고천체육공원-&amp;gt;의왕시청),2.0,30,2,경기도남부경찰청,031-888-3952,쓰레기단속,3,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 왕곡동 613
3,G3051,경기도,의왕시,경기도 의왕시 내손순환로 175,경기도 의왕시 내손동 713-5,37.388792,126.981243,2019,내손초교 앞 어린이보호구역(안양농수산물도매시장-&amp;gt;내손로삼거리),2.0,30,2,경기도남부경찰청,031-888-3952,생활방범,5,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 내손동 713-5
4,H4498,경기도,의왕시,경기도 의왕시 내손로 9,경기도 의왕시 내손동 713-5,37.383844,126.973911,2022,센트럴자이아파트 사거리 어린이보호구역(백운초교)(내손초교→안양),2.0,30,2,경기도남부경찰청,031-888-3952,생활방범,5,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 내손동 713-5
5,H4499,경기도,의왕시,경기도 의왕시 철도박물관로 143,경기도 의왕시 삼동 158-3,37.316350,126.950569,2022,부곡초교 앞 어린이보호구역(의왕역→철도박물관),2.0,30,2,경기도남부경찰청,031-888-3952,생활방범,3,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 삼동 158-3
6,H6655,경기도,의왕시,경기도 의왕시 백운중앙로 74,경기도 의왕시 학의동 1149,37.370282,127.007242,2022,백운호수초교 앞 어린이보호구역(해링턴1단지→해링턴4단지),2.0,30,2,경기도남부경찰청,031-888-3952,생활방범,4,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 학의동 1149
7,H8122,경기도,의왕시,경기도 의왕시 백운초등길 11,경기도 의왕시 내손동 713-5,37.386803,126.975459,2023,백운초교 앞 (농협삼거리 → 백운초교)어린이보호구역,2.0,30,2,경기도남부경찰청,031-888-3952,생활방범,5,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 내손동 713-5
8,H8123,경기도,의왕시,경기도 의왕시 장안중앙로 3,경기도 의왕시 삼동 587,37.318460,126.957771,2023,부곡주민센터사거리 (철도기술연구원삼거리 → 부곡IC),2.0,50,99,경기도남부경찰청,031-888-3952,생활방범,5,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 삼동 587
9,H8826,경기도,의왕시,경기도 의왕시 내손중앙로 11,경기도 의왕시 내손동 713-5,37.387922,126.978525,2023,e편한세상인덕원 110ㅁ동 앞 어린이보호구역(내동초교)(나눔초교→보우상가사거리),2.0,30,2,경기도남부경찰청,031-888-3952,생활방범,5,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 내손동 713-5
10,J0482,경기도,의왕시,경기도 의왕시 포도원로 40,경기도 의왕시 오전동 28,37.362262,126.966437,2024,해모로아파트 107동 앞 어린이보호구역(의왕초교)(의왕초교→포도원사거리),1.0,30,2,경기도남부경찰청,031-888-3952,생활방범,4,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 오전동 28
11,J0483,경기도,의왕시,경기도 의왕시 오전동 889,경기도 의왕시 오전동 889,37.358987,126.970879,2024,대명솔채아파트 앞 어린이보호구역(모락초교)(모락초교→보석골로어린이공원),1.0,30,2,경기도남부경찰청,031-888-3952,생활방범,4,2025-09-08,무인교통단속카메라현황(제공표준).xls,의왕시 현황,경기도 의왕시 오전동 889
