기준년도,시도명,시군구명,읍면동명,면적(㎢),세대수,인구수
2024,경기도,가평군,설악면,141.67,5368,9683
2024,경기도,가평군,청평면,112.23,7346,13405
2024,경기도,가평군,상면,100.53,3115,5399
2024,경기도,가평군,조종면,113.03,4367,9205
2024,경기도,가평군,북면,231.09,2167,3553
2024,경기도,연천군,,678.42,21750,40866
2024,경기도,연천군,연천읍,88.01,4155,7829
2024,경기도,연천군,전곡읍,55.22,8689,17655
2024,경기도,연천군,군남면,45.64,1632,2960
2024,경기도,연천군,청산면,43.72,2439,4068
2024,경기도,연천군,백학면,67.76,1343,2455
2024,경기도,연천군,미산면,41.35,955,1659
2024,경기도,연천군,왕징면,71.54,569,967
2024,경기도,연천군,신서면,148.42,1481,2401
2024,경기도,연천군,중면,80.94,93,165
2024,경기도,연천군,장남면,35.82,394,707
2024,경기도,포천시,내촌면,52.74,2504,4187
2024,경기도,포천시,가산면,35.9,4063,6967
2024,경기도,포천시,신북면,96.0,6211,11258
2024,경기도,포천시,창수면,71.77,1160,2025
2024,경기도,포천시,영중면,61.24,2651,4526
2024,경기도,포천시,일동면,83.41,4824,8827
2024,경기도,포천시,이동면,113.02,3165,5569
2024,경기도,포천시,영북면,81.72,4166,7418
2024,경기도,포천시,관인면,70.13,1413,2527
2024,경기도,포천시,화현면,43.59,1353,2413
2024,경기도,포천시,포천동,11.35,9501,19330
2024,경기도,포천시,선단동,23.91,7446,14088
2024,경기도,의왕시,,54.03,62798,154488
2024,경기도,의왕시,고천동,8.88,6197,13701
2024,경기도,의왕시,부곡동,11.27,12649,29232
2024,경기도,의왕시,오전동,6.72,12577,33584
2024,경기도,의왕시,내손1동,2.55,8159,19874
2024,경기도,의왕시,내손2동,2.51,7832,21215
2024,경기도,의왕시,청계동,22.1,15384,36882
2024,경기도,양평군,,877.91,63101,126804
2024,경기도,양평군,양평읍,42.23,17316,37683
2024,경기도,양평군,강상면,37.89,4771,10144
2024,경기도,양평군,강하면,41.31,2653,4847
2024,경기도,양평군,양서면,59.61,6815,13847
2024,경기도,양평군,옥천면,66.68,4187,8021
2024,경기도,양평군,서종면,92.73,5099,9884
2024,경기도,양평군,단월면,107.77,2142,3916
2024,경기도,양평군,청운면,96.74,2161,3726
2024,경기도,양평군,양동면,120.34,2465,4534
2024,경기도,양평군,지평면,77.69,3641,6638
2024,경기도,양평군,용문면,102.58,9160,18462
2024,경기도,양평군,개군면,32.34,2691,5102
2024,경기도,여주시,,608.19,56400,114610
2024,경기도,여주시,가남읍,75.28,7337,14167
2024,경기도,여주시,점동면,71.8,2329,4647
2024,경기도,여주시,흥천면,44.15,2520,4936
2024,경기도,여주시,금사면,41.78,1589,2861
2024,경기도,여주시,세종대왕면,52.98,3004,5759
2024,경기도,여주시,대신면,75.8,3545,6551
2024,경기도,여주시,북내면,65.8,2485,4674
2024,경기도,여주시,강천면,74.4,2367,4312
2024,경기도,여주시,산북면,32.82,1243,2479
2024,경기도,여주시,여흥동,38.65,10482,20632
2024,경기도,여주시,중앙동,17.85,11353,25405
2024,경기도,여주시,오학동,16.88,8146,18187
2024,경기도,동두천시,,95.67,43096,86838
2024,경기도,동두천시,생연1동,2.16,3199,6182
2024,경기도,동두천시,생연2동,0.72,5014,10781
2024,경기도,동두천시,중앙동,0.85,2851,4418
2024,경기도,동두천시,보산동,13.68,1533,2640
2024,경기도,동두천시,불현동,33.37,11977,24818
2024,경기도,동두천시,송내동,5.52,11434,24873
2024,경기도,동두천시,소요동,31.32,4393,8379
2024,경기도,동두천시,상패동,8.05,2695,4747
2024,경기도,과천시,,35.87,30874,85512
2024,경기도,과천시,중앙동,6.99,4179,11270
2024,경기도,과천시,원문동,2.21,5279,16112
2024,경기도,과천시,갈현동,2.28,5281,16707
2024,경기도,과천시,별양동,0.68,5310,14736
2024,경기도,과천시,부림동,0.37,5259,13937
2024,경기도,과천시,과천동,10.78,2870,6201
2024,경기도,과천시,문원동,12.56,2696,6549
2024,경기도,가평군,,843.41,33019,62527
2024,경기도,가평군,가평읍,144.86,10656,21282
2024,경기도,오산시,중앙동,3.66,13993,33547
2024,경기도,오산시,남촌동,6.05,16661,28081
2024,경기도,오산시,신장1동,3.4,15371,34836
2024,경기도,오산시,신장2동,3.6,9852,22899
2024,경기도,오산시,세마동,13.31,13341,31489
2024,경기도,오산시,초평동,6.47,9990,20948
2024,경기도,오산시,대원1동,2.5,21511,45786
2024,경기도,오산시,대원2동,3.7,10317,24479
2024,경기도,양주시,,310.49,128336,289005
2024,경기도,양주시,백석읍,41.5,11945,25418
2024,경기도,양주시,은현면,34.54,2957,5173
2024,경기도,양주시,남면,36.52,3551,6151
2024,경기도,양주시,광적면,48.45,5615,10681
2024,경기도,양주시,장흥면,63.63,6271,11913
2024,경기도,양주시,양주1동,23.65,2410,4538
2024,경기도,양주시,양주2동,19.09,20423,49331
