지역,행정구역면적_㎢,인구수,세대수,면적대비_인구수(명/㎢),면적대비_세대수(세대/㎢)
가평군,843.41,63392.0,33095.0,75.16154657876952,39.23951577524573
고양시,267.33,1074350.0,466481.0,4018.815695956309,1744.9631541540418
과천시,35.86,80198.0,28753.0,2236.419408812047,801.8126045733408
광명시,38.5,300501.0,124760.0,7805.220779220779,3240.5194805194806
광주시,430.99,412912.0,175938.0,958.0547112462006,408.21828812733474
구리시,33.29,187853.0,81890.0,5642.925803544608,2459.8978672273956
군포시,36.35,256995.0,111651.0,7070.013755158184,3071.554332874828
김포시,276.55,511168.0,207331.0,1848.3746158018441,749.7052974145723
남양주시,459.99,739686.0,308853.0,1608.048001043501,671.434161612209
동두천시,95.68,90778.0,43542.0,948.7667224080267,455.0794314381271
부천시,53.44,790444.0,342442.0,14791.242514970061,6407.9715568862275
성남시,141.84,924494.0,409559.0,6517.865200225606,2887.471799210378
수원시,121.13,1227049.0,542000.0,10130.017336745646,4474.531495087922
시흥시,131.46,557021.0,229833.0,4237.190019777879,1748.3112733911455
안산시,144.92,666421.0,287889.0,4598.544024289264,1986.5373999447972
안성시,554.34,212223.0,97100.0,382.8390518454378,175.1632572067684
안양시,58.52,570685.0,240105.0,9751.965140123035,4102.956254272043
양주시,310.1,306764.0,132605.0,989.2421799419542,427.62012254111573
양평군,877.8,128743.0,63680.0,146.66552745500115,72.54499886078834
여주시,608.3,119208.0,56841.0,195.9690941969423,93.44238040440572
연천군,676.3,43919.0,22531.0,64.94011533343192,33.31509685051013
오산시,42.76,261653.0,115605.0,6119.106641721235,2703.578110383536
용인시,591.53,1112533.0,448954.0,1880.7718966071036,758.9708045238618
의왕시,53.96,161938.0,66223.0,3001.074870274277,1227.2609340252038
의정부시,81.59,469796.0,212488.0,5758.009559995097,2604.3387670057605
이천시,461.15,234302.0,106815.0,508.0819689905671,231.62745310636453
파주시,682.61,543841.0,233887.0,796.7082228505295,342.6363516502835
평택시,452.31,648679.0,293634.0,1434.1469346244833,649.187504145387
포천시,826.4,157393.0,73793.0,190.45619554695062,89.29453049370765
하남시,93.08,330713.0,141010.0,3552.9974215728407,1514.9333906317147
화성시,844.17,1046247.0,428851.0,1239.3795088666975,508.01497328737105
