지역,행정구역면적_㎢,인구수,세대수,면적대비_인구수(명/㎢),면적대비_세대수(세대/㎢),CCTV개수,면적대비인구_기준_CCTV비율,면적대비세대_기준_CCTV비율,면적당_CCTV(대/㎢),인구1만명당_CCTV(대),세대1만당_CCTV(대)
가평군,843.41,63392.0,33095.0,75.16154657876952,39.23951577524573,66,0.8781085941443716,1.6819779422873546,0.07825375558743672,10.411408379606259,19.942589515032484
고양시,267.33,1074350.0,466481.0,4018.815695956309,1744.9631541540418,964,0.23987166193512355,0.5524471950626071,3.6060300003740697,8.972867315120771,20.6653647201065
과천시,35.86,80198.0,28753.0,2236.419408812047,801.8126045733408,99,0.044267188707947824,0.12347024658296525,2.7607361963190185,12.34444749245617,34.431189788891594
광명시,38.5,300501.0,124760.0,7805.220779220779,3240.5194805194806,166,0.021267816080478934,0.0512263546008336,4.311688311688312,5.524108072851671,13.305546649567168
광주시,430.99,412912.0,175938.0,958.0547112462006,408.21828812733474,349,0.3642798223350254,0.8549347497413862,0.8097635676001763,8.452164141511993,19.83653332423922
구리시,33.29,187853.0,81890.0,5642.925803544608,2459.8978672273956,174,0.03083506784560268,0.07073464403468067,5.226794833283268,9.262561683869835,21.248015630724144
군포시,36.35,256995.0,111651.0,7070.013755158184,3071.554332874828,244,0.034511955485515285,0.07943860780467707,6.71251719394773,9.494348139068853,21.85381232590841
김포시,276.55,511168.0,207331.0,1848.3746158018441,749.7052974145723,239,0.12930279281958182,0.31879193174199716,0.8642198517447116,4.67556654563666,11.527460919978198
남양주시,459.99,739686.0,308853.0,1608.048001043501,671.434161612209,550,0.34202959093453167,0.8191421161523443,1.195678166916672,7.435587533088365,17.807824434277794
동두천시,95.68,90778.0,43542.0,948.7667224080267,455.0794314381271,104,0.10961598625217564,0.22853153277295485,1.0869565217391304,11.456520302275882,23.884984612557993
부천시,53.44,790444.0,342442.0,14791.242514970061,6407.9715568862275,550,0.03718416484912277,0.08583059320994504,10.29191616766467,6.958114679850818,16.06111399886696
성남시,141.84,924494.0,409559.0,6517.865200225606,2887.471799210378,691,0.10601630729891164,0.23930969652724027,4.871686407219402,7.4743589466237745,16.87180601573888
수원시,121.13,1227049.0,542000.0,10130.017336745646,4474.531495087922,747,0.0737412360875564,0.166944852398524,6.166928093783539,6.08777644576541,13.782287822878228
시흥시,131.46,557021.0,229833.0,4237.190019777879,1748.3112733911455,154,0.03634484157688849,0.08808500084844213,1.1714589989350372,2.7647072552022274,6.7005173321498654
안산시,144.92,666421.0,287889.0,4598.544024289264,1986.5373999447972,537,0.11677609198989826,0.2703196023467378,3.7054926856196526,8.057969361709791,18.6530225190959
안성시,554.34,212223.0,97100.0,382.8390518454378,175.1632572067684,254,0.6634641862569091,1.450075798146241,0.45820254717321496,11.968542523666143,26.15859938208033
안양시,58.52,570685.0,240105.0,9751.965140123035,4102.956254272043,298,0.03055794352401062,0.07263055746444265,5.092276144907723,5.221794860562307,12.411236750588284
양주시,310.1,306764.0,132605.0,989.2421799419542,427.62012254111573,247,0.2496860778970153,0.577615474529618,0.7965172524991937,8.051792257240093,18.626748614305644
양평군,877.8,128743.0,63680.0,146.66552745500115,72.54499886078834,84,0.5727317213363056,1.157902010050251,0.09569377990430622,6.5246265816393905,13.190954773869347
여주시,608.3,119208.0,56841.0,195.9690941969423,93.44238040440572,408,2.081960942218643,4.366327123027392,0.6707216833799112,34.22589087980673,71.77917348392886
연천군,676.3,43919.0,22531.0,64.94011533343192,33.31509685051013,70,1.077916163847082,2.1011495273179173,0.10350436196954015,15.938432113663792,31.068305889663133
오산시,42.76,261653.0,115605.0,6119.106641721235,2703.578110383536,110,0.01797648030024498,0.040686821504260194,2.5724976613657624,4.204041230178901,9.515159378919597
용인시,591.53,1112533.0,448954.0,1880.7718966071036,758.9708045238618,648,0.3445393889439684,0.8537877822672256,1.0954643044308827,5.824546328063977,14.433549985076422
의왕시,53.96,161938.0,66223.0,3001.074870274277,1227.2609340252038,79,0.026323901740172167,0.06437098893133805,1.464047442550037,4.8784102557769025,11.929390091055977
의정부시,81.59,469796.0,212488.0,5758.009559995097,2604.3387670057605,419,0.0727682015172543,0.1608853676442905,5.135433263880377,8.918764740440531,19.718760588833252
이천시,461.15,234302.0,106815.0,508.0819689905671,231.62745310636453,473,0.9309521472287902,2.042072274493283,1.0256966279952293,20.187621104386647,44.28217010719468
파주시,682.61,543841.0,233887.0,796.7082228505295,342.6363516502835,522,0.6551959488159224,1.5234810827450862,0.7647119145632205,9.598393648143484,22.318470030399297
평택시,452.31,648679.0,293634.0,1434.1469346244833,649.187504145387,1296,0.9036730956297336,1.9963415680745418,2.8652915036147775,19.979065146243364,44.13657818917428
포천시,826.4,157393.0,73793.0,190.45619554695062,89.29453049370765,234,1.2286289733342652,2.620541243749407,0.2831558567279768,14.867243142960614,31.71032482755817
하남시,93.08,330713.0,141010.0,3552.9974215728407,1514.9333906317147,362,0.10188580430766253,0.23895440039713495,3.889127632144392,10.94604687448029,25.671938160414154
화성시,844.17,1046247.0,428851.0,1239.3795088666975,508.01497328737105,771,0.6220854826823876,1.5176718020944338,0.9133231458118626,7.369196757553427,17.9782721737853
